addr, bit0,  bit1,  bit2,  bit3,  bit4,  bit5,  bit6,  bit7
  90,  1470,  1480,  1430,  1430,  1230,  1480,  1490,  1480
  91,  1450,  1480,  1480,  1480,  1490,  1470,  1500,  1480
  92,  1470,  1430,  1480,  1280,  1500,  1480,  1450,  1420
  93,  1450,  1490,  1440,  1480,  1500,  1410,  1500,  1490
  94,  1400,  1490,  1440,  1280,  1420,  1480,  1510,  1490
  95,  1470,  1440,  1490,  1490,  1500,  1490,  1450,  1490
  96,  1460,  1470,  1470,  1480,  1490,  1440,  1500,  1480
  97,  1470,  1480,  1480,  1430,  1410,  1480,  1500,  1430
  98,  1450,  1430,  1480,  1480,  1490,  1480,  1500,  1480
  99,  1470,  1480,  1480,  1480,  1490,  1410,  1450,  1480
 100,  1470,  1480,  1470,  1490,  1410,  1480,  1500,  1480
 101,  1450,  1440,  1480,  1480,  1490,  1480,  1500,  1480
 102,  1470,  1480,  1480,  1480,  1490,  1430,  1500,  1480
 103,  1450,  1480,  1480,  1420,  1490,  1470,  1500,  1400
 104,  1470,  1480,  1480,  1480,  1400,  1480,  1500,  1480
 105,  1440,  1430,  1480,  1480,  1500,  1470,  1500,  1480
 106,  1470,  1480,  1470,  1480,  1440,  1420,  1370,  1480
 107,  1450,  1480,  1480,  1420,  1230,  1480,  1500,  1480
 108,  1460,  1410,  1480,  1480,  1490,  1480,  1500,  1480
 109,  1460,  1470,  1430,  1480,  1480,  1420,  1500,  1480
 110,  1460,  1480,  1430,  1480,  1490,  1480,  1500,  1480
 111,  1470,  1430,  1470,  1480,  1490,  1470,  1500,  1410
 112,  1470,  1480,  1470,  1480,  1490,  1430,  1500,  1480
 113,  1470,  1480,  1470,  1420,  1490,  1470,  1500,  1480
 114,  1470,  1420,  1470,  1480,  1490,  1480,  1500,  1480
 115,  1460,  1480,  1480,  1480,  1490,  1470,  1500,  1430
 116,  1390,  1480,  1430,  1430,  1480,  1480,  1500,  1480
 117,  1470,  1440,  1480,  1480,  1490,  1480,  1500,  1480
 118,  1460,  1480,  1470,  1480,  1490,  1470,  1490,  1480
 119,  1470,  1470,  1470,  1470,  1490,  1410,  1360,  1480
 120,  1470,  1430,  1430,  1430,  1230,  1440,  1460,  1410
 121,  1440,  1320,  1480,  1480,  1480,  1470,  1370,  1480
 122,  1470,  1470,  1430,  1420,  1410,  1430,  1500,  1480
 123,  1460,  1480,  1480,  1480,  1500,  1480,  1500,  1480
 124,  1460,  1410,  1430,  1420,  1230,  1420,  1490,  1480
 125,  1460,  1310,  1470,  1480,  1490,  1470,  1450,  1410
 126,  1460,  1290,  1320,  1430,  1500,  1430,  1500,  1420
 127,  1410,  1490,  1430,  1480,  1440,  1480,  1460,  1010
 128,  1370,  1420,  1470,  1480,  1490,  1470,  1450,  1480
 129,  1470,  1470,  1440,  1420,  1410,  1410,  1500,  1410
 130,  1470,  1480,  1480,  1490,  1420,  1440,  1510,  1490
 131,  1440,  1430,  1440,  1430,  1500,  1480,  1500,  1480
 132,  1460,  1430,  1470,  1260,  1420,  1480,  1450,  1410
 133,  1240,  1480,  1430,  1260,  1490,  1420,  1490,  1010
 134,  1240,  1480,  1320,  1260,  1500,  1480,  1440,  1480
 135,  1450,  1430,  1480,  1480,  1430,  1480,  1460,  1410
 136,  1460,  1330,  1440,  1480,  1490,  1430,  1500,  1410
 137,  1470,  1480,  1480,  1480,  1490,  1430,  1450,  1390
 138,  1460,  1480,  1420,  1420,  1490,  1470,  1360,  1410
 139,  1470,  1480,  1470,  1470,  1490,  1480,  1500,  1480
 140,  1460,  1420,  1430,  1480,  1410,  1430,  1450,  1480
 141,  1460,  1480,  1480,  1420,  1470,  1480,  1500,  1410
 142,  1470,  1420,  1440,  1480,  1490,  1430,  1500,  1490
 143,  1240,  1490,  1480,  1420,  1400,  1490,  1450,  1420
 144,  1460,  1420,  1480,  1480,  1500,  1470,  1500,  1420
 145,  1470,  1470,  1440,  1300,  1440,  1420,  1450,  1410
 146,  1240,  1420,  1340,  1430,  1490,  1470,  1500,  1480
 147,  1440,  1480,  1480,  1480,  1410,  1470,  1450,  1420
 148,  1470,  1480,  1430,  1480,  1490,  1480,  1500,  1480
 149,  1470,  1490,  1480,  1480,  1490,  1420,  1500,  1480
 150,  1460,  1480,  1470,  1480,  1490,  1480,  1500,  1420
 151,  1440,  1480,  1480,  1480,  1410,  1410,  1500,  1480
 152,  1460,  1420,  1480,  1480,  1490,  1480,  1500,  1420
 153,  1470,  1490,  1440,  1430,  1430,  1410,  1450,  1480
 154,  1470,  1480,  1430,  1490,  1430,  1440,  1500,  1480
 155,  1450,  1490,  1480,  1420,  1410,  1480,  1500,  1480
 156,  1470,  1420,  1430,  1480,  1410,  1470,  1500,  1410
 157,  1450,  1480,  1470,  1420,  1490,  1420,  1500,  1410
 158,  1460,  1420,  1470,  1480,  1480,  1470,  1500,  1480
 159,  1440,  1480,  1480,  1310,  1490,  1470,  1500,  1410
 160,  1470,  1480,  1480,  1480,  1230,  1480,  1450,  1480
 161,  1450,  1320,  1480,  1480,  1490,  1470,  1500,  1480
 162,  1470,  1430,  1470,  1430,  1490,  1470,  1500,  1410
 163,  1390,  1480,  1430,  1480,  1490,  1470,  1500,  1480
 164,  1470,  1430,  1480,  1480,  1480,  1480,  1500,  1480
 165,  1470,  1480,  1480,  1480,  1500,  1470,  1360,  1480
 166,  1470,  1480,  1430,  1490,  1490,  1480,  1500,  1480
 167,  1450,  1430,  1480,  1480,  1490,  1470,  1500,  1480
 168,  1460,  1470,  1320,  1430,  1420,  1420,  1440,  1480
 169,  1460,  1470,  1430,  1480,  1490,  1470,  1500,  1400
 170,  1460,  1480,  1470,  1480,  1490,  1430,  1500,  1480
 171,  1470,  1480,  1470,  1320,  1420,  1480,  1500,  1480
 172,  1450,  1480,  1480,  1420,  1500,  1480,  1500,  1480
 173,  1450,  1480,  1430,  1480,  1420,  1480,  1500,  1480
 174,  1380,  1480,  1480,  1430,  1500,  1480,  1490,  1420
 175,  1470,  1490,  1440,  1480,  1410,  1420,  1500,  1390
 176,  1460,  1430,  1470,  1430,  1490,  1470,  1500,  1480
 177,  1470,  1480,  1440,  1480,  1490,  1480,  1500,  1390
 178,  1470,  1480,  1470,  1480,  1490,  1480,  1500,  1480
 179,  1470,  1480,  1470,  1480,  1490,  1480,  1500,  1480
 180,  1470,  1480,  1480,  1480,  1490,  1480,  1500,  1480
 181,  1440,  1480,  1440,  1480,  1230,  1420,  1500,  1480
 182,  1460,  1430,  1470,  1430,  1490,  1310,  1500,  1410
 183,  1450,  1480,  1420,  1480,  1430,  1470,  1450,  1480
 184,  1470,  1420,  1480,  1430,  1420,  1480,  1460,  1480
 185,  1470,  1480,  1480,  1480,  1490,  1340,  1510,  1410
 186,  1460,  1480,  1470,  1480,  1410,  1430,  1500,  1480
 187,  1450,  1420,  1420,  1420,  1490,  1470,  1490,  1480
 188,  1470,  1430,  1440,  1480,  1490,  1480,  1500,  1480
 189,  1240,  1480,  1480,  1430,  1420,  1480,  1510,  1410
 190,  1240,  1480,  1430,  1480,  1490,  1480,  1500,  1480
 191,  1450,  1010,  1480,  1430,  1490,  1470,  1360,  1480
 192,  1470,  1430,  1480,  1480,  1430,  1430,  1350,  1480
 193,  1450,  1430,  1480,  1480,  1500,  1480,  1510,  1410
 194,  1460,  1470,  1470,  1430,  1480,  1480,  1450,  1480
 195,  1450,  1430,  1470,  1480,  1480,  1470,  1500,  1470
 196,  1470,  1480,  1420,  1480,  1490,  1470,  1500,  1490
 197,  1450,  1010,  1490,  1480,  1490,  1480,  1500,  1410
 198,  1470,  1420,  1480,  1480,  1500,  1480,  1500,  1480
 199,  1470,  1480,  1480,  1480,  1430,  1480,  1500,  1420
 200,  1460,  1470,  1470,  1420,  1490,  1460,  1490,  1470
 201,  1470,  1430,  1470,  1480,  1420,  1470,  1500,  1470
 202,  1470,  1330,  1430,  1480,  1490,  1470,  1500,  1390
 203,  1440,  1480,  1480,  1420,  1440,  1470,  1500,  1480
 204,  1470,  1470,  1470,  1430,  1490,  1470,  1370,  1390
 205,  1460,  1480,  1470,  1480,  1440,  1480,  1500,  1410
 206,  1470,  1480,  1430,  1490,  1480,  1470,  1500,  1480
 207,  1450,  1490,  1480,  1480,  1490,  1480,  1500,  1480
 208,  1460,  1420,  1430,  1480,  1230,  1470,  1490,  1480
 209,  1450,  1480,  1480,  1420,  1490,  1470,  1360,  1440
 210,  1460,  1300,  1330,  1480,  1490,  1470,  1340,  1480
 211,  1460,  1420,  1470,  1480,  1490,  1360,  1490,  1410
 212,  1460,  1480,  1440,  1480,  1490,  1470,  1490,  1480
 213,  1470,  1480,  1480,  1480,  1440,  1360,  1360,  1480
 214,  1460,  1420,  1470,  1430,  1490,  1440,  1490,  1010
 215,  1440,  1470,  1430,  1480,  1480,  1470,  1500,  1480
 216,  1460,  1470,  1470,  1480,  1490,  1470,  1500,  1480
 217,  1450,  1480,  1430,  1480,  1490,  1470,  1500,  1440
 218,  1470,  1470,  1470,  1430,  1500,  1430,  1510,  1410
 219,  1470,  1480,  1480,  1480,  1490,  1480,  1510,  1400
 220,  1460,  1430,  1430,  1480,  1480,  1470,  1490,  1470
 221,  1470,  1480,  1470,  1480,  1490,  1470,  1450,  1410
 222,  1470,  1480,  1470,  1480,  1450,  1330,  1500,  1480
 223,  1450,  1480,  1440,  1480,  1490,  1310,  1460,  1480
 224,  1470,  1480,  1480,  1480,  1500,  1480,  1510,  1490
 225,  1470,  1480,  1480,  1480,  1500,  1360,  1500,  1410
 226,  1460,  1420,  1480,  1420,  1480,  1480,  1500,  1480
 227,  1470,  1490,  1440,  1480,  1490,  1480,  1500,  1480
 228,  1460,  1480,  1320,  1480,  1490,  1430,  1450,  1430
 229,  1470,  1430,  1480,  1420,  1490,  1470,  1500,  1480
 230,  1480,  1490,  1430,  1480,  1500,  1480,  1500,  1390
 231,  1470,  1490,  1290,  1480,  1500,  1420,  1500,  1490
 232,  1470,  1480,  1480,  1430,  1420,  1480,  1500,  1480
 233,  1470,  1490,  1440,  1480,  1490,  1480,  1500,  1420
 234,  1400,  1470,  1470,  1430,  1490,  1430,  1360,  1480
 235,  1460,  1480,  1480,  1480,  1490,  1470,  1490,  1470
 236,  1470,  1490,  1480,  1490,  1500,  1440,  1510,  1480
 237,  1410,  1490,  1480,  1420,  1500,  1480,  1500,  1490
 238,  1470,  1430,  1480,  1490,  1420,  1480,  1500,  1490
 239,  1480,  1490,  1480,  1490,  1490,  1490,  1510,  1420
 240,  1400,  1480,  1480,  1480,  1500,  1430,  1450,  1490
 241,  1470,  1490,  1480,  1480,  1220,  1480,  1360,  1480
 242,  1470,  1420,  1440,  1420,  1500,  1480,  1510,  1410
 243,  1450,  1490,  1320,  1480,  1500,  1420,  1450,  1480
 244,  1460,  1430,  1470,  1470,  1440,  1470,  1490,  1470
 245,  1460,  1470,  1430,  1480,  1480,  1480,  1500,  1470
 246,  1460,  1480,  1480,  1430,  1500,  1430,  1450,  1380
 247,  1470,  1480,  1430,  1490,  1450,  1470,  1500,  1480
 248,  1460,  1430,  1480,  1480,  1490,  1430,  1500,  1420
 249,  1470,  1480,  1480,  1480,  1500,  1470,  1510,  1480
 250,  1460,  1480,  1480,  1480,  1480,  1470,  1500,  1480
 251,  1470,  1480,  1480,  1480,  1490,  1480,  1500,  1480
 252,  1460,  1420,  1480,  1430,  1410,  1480,  1440,  1480
 253,  1420,  1320,  1320,  1480,  1220,  1350,  1500,  1410
 254,  1380,  1480,  1320,  1430,  1500,  1430,  1460,  1490
 255,  1480,  1430,  1430,  1490,  1470,  1480,  1500,  1020
