addr, bit0,  bit1,  bit2,  bit3,  bit4,  bit5,  bit6,  bit7
   0,     0,  1420,     0,  1440,  1800,  1430,  1450,  1430
   1,  1480,  1440,  1090,  1420,  1430,  1460,  1440,  1470
   2,  1460,  1340,  1090,  1470,  1070,  1460,  1490,  1460
   3,  1410,  1470,  1480,  1430,  1480,  1460,  1450,  1460
   4,  1470,  1460,  1420,  1480,  1070,  1050,  1490,  1010
   5,  1420,  1440,  1090,  1430,  1480,  1470,  1440,  1470
   6,  1080,  1350,  1090,  1480,  1420,  1460,  1490,  1470
   7,  1480,  1460,  1480,  1490,  1490,  1470,  1500,  1470
   8,  1420,  1470,  1430,  1470,  1470,  1050,  1050,  1410
   9,  1400,  1430,  1090,  1360,  1440,  1460,  1460,  1470
  10,  1400,  1470,  1480,  1420,  1470,  1450,  1490,  1390
  11,  1410,  1460,  1410,  1480,  1480,  1480,  1450,  1460
  12,  1410,  1470,  1430,  1480,  1420,  1460,  1370,  1400
  13,  1080,  1430,  1480,  1430,  1490,  1460,  1490,  1470
  14,  1480,  1340,  1350,  1470,  1480,  1460,  1460,  1470
  15,  1420,  1470,  1420,  1420,  1450,  1460,  1380,  1470
  16,  1470,  1470,  1480,  1420,  1480,  1450,  1500,  1460
  17,  1420,  1440,  1420,  1480,  1430,  1460,  1460,  1470
  18,  1470,  1470,  1480,  1480,  1340,  1460,  1500,  1480
  19,  1410,  1430,  1410,  1480,  1440,  1470,  1460,  1470
  20,  1410,  1470,  1480,  1340,  1480,  1460,  1490,  1460
  21,  1080,  1430,  1410,  1340,  1480,  1460,  1490,  1470
  22,  1480,  1470,  1480,  1480,  1420,  1460,  1460,  1470
  23,  1470,  1430,  1470,  1470,  1470,  1050,  1440,  1440
  24,  1470,  1460,  1430,  1410,  1420,  1450,  1490,  1410
  25,  1480,  1470,  1470,  1480,  1480,  1450,  1490,  1460
  26,  1480,  1470,  1480,  1480,  1460,  1470,  1450,  1460
  27,  1480,  1440,  1480,  1480,  1480,  1460,  1490,  1470
  28,  1470,  1460,  1340,  1480,  1470,  1470,  1500,  1460
  29,  1420,  1430,  1310,  1350,  1360,  1450,  1350,  1390
  30,  1080,  1470,  1310,  1410,  1420,  1450,  1450,  1470
  31,  1480,  1430,  1410,  1480,  1330,  1460,  1490,  1450
  32,  1080,  1470,  1430,  1480,  1430,  1460,  1500,  1470
  33,  1480,  1430,  1320,  1350,  1490,  1460,  1050,  1470
  34,  1430,  1470,  1480,  1420,  1410,  1460,  1460,  1460
  35,  1420,  1350,  1420,  1430,  1430,  1460,  1450,  1470
  36,  1480,  1460,  1420,  1480,  1420,  1460,  1490,  1460
  37,  1400,  1430,  1090,  1420,  1480,  1470,  1450,  1460
  38,  1410,  1320,  1480,  1410,  1470,  1450,  1490,  1470
  39,  1480,  1460,  1480,  1490,  1480,  1460,  1490,  1470
  40,  1470,  1470,  1430,  1400,  1420,  1050,  1460,  1470
  41,  1420,  1440,  1480,  1480,  1070,  1460,  1490,  1470
  42,  1470,  1470,  1480,  1470,  1480,  1460,  1450,  1460
  43,  1470,  1460,  1470,  1480,  1430,  1450,  1380,  1460
  44,  1480,  1470,  1420,  1480,  1460,  1450,  1500,  1460
  45,  1420,  1450,  1480,  1480,  1360,  1460,  1490,  1470
  46,  1400,  1360,  1480,  1410,  1480,  1460,  1500,  1470
  47,  1480,  1470,  1480,  1490,  1470,  1050,  1500,  1470
  48,  1440,  1440,  1480,  1420,  1420,  1460,  1450,  1460
  49,  1480,  1470,  1480,  1430,  1480,  1450,  1490,  1400
  50,  1410,  1440,  1480,  1480,  1430,  1460,  1490,  1470
  51,  1480,  1470,  1410,  1480,  1480,  1460,  1450,  1460
  52,  1480,  1480,  1480,  1480,  1490,  1470,  1500,  1470
  53,  1490,  1440,  1480,  1480,  1480,  1470,  1500,  1460
  54,  1470,  1470,  1480,  1430,  1490,  1450,  1460,  1480
  55,  1480,  1470,  1480,  1490,  1480,  1460,  1500,  1470
  56,  1480,  1440,  1480,  1480,  1430,  1450,  1490,  1480
  57,  1480,  1470,  1420,  1420,  1470,  1460,  1490,  1470
