vretention,badbits
 500, 0
 490, 0
 480, 0
 470, 0
 460, 0
 450, 0
 440, 0
 430, 0
 420, 0
 410, 0
 400, 4
 390, 6
 380, 12
 370, 21
 360, 35
 350, 51
 340, 86
 330, 117
 320, 156
 310, 229
 300, 309
 290, 442
 280, 539
 270, 707
 260, 809
 250, 905
 240, 945
 230, 963
 220, 980
 210, 998
 200, 1003
 190, 1000
 180, 1005
 170, 1012
 160, 1031
 150, 1035
 140, 1030
 130, 1042
 120, 1045
 110, 1041
 100, 1037
  90, 1023
  80, 1027
  70, 1027
  60, 1020
  50, 1008
  40, 1010
  30, 1013
  20, 1004
  10, 1014
