vretention,badbits
 500, 0
 490, 0
 480, 0
 470, 0
 460, 0
 450, 0
 440, 0
 430, 0
 420, 3
 410, 5
 400, 6
 390, 10
 380, 16
 370, 35
 360, 131
 350, 181
 340, 232
 330, 188
 320, 244
 310, 325
 300, 419
 290, 512
 280, 616
 270, 716
 260, 820
 250, 922
 240, 960
 230, 993
 220, 1000
 210, 1031
 200, 1044
 190, 1026
 180, 1032
 170, 1049
 160, 1037
 150, 1022
 140, 1021
 130, 1031
 120, 1041
 110, 1046
 100, 1052
  90, 1045
  80, 1044
  70, 1040
  60, 1026
  50, 1031
  40, 1031
  30, 1026
  20, 1025
  10, 1031
