addr, bit0,  bit1,  bit2,  bit3,  bit4,  bit5,  bit6,  bit7
  90,  1450,  1450,  1370,  1350,  1350,  1460,  1510,  1460
  91,  1360,  1490,  1490,  1490,  1490,  1480,  1510,  1480
  92,  1470,  1400,  1460,  1020,  1450,  1480,  1410,  1370
  93,  1370,  1470,  1360,  1490,  1480,  1400,  1510,  1470
  94,  1430,  1480,  1370,  1080,  1380,  1480,  1520,  1480
  95,  1480,  1380,  1510,  1490,  1480,  1480,  1390,  1470
  96,  1470,  1470,  1490,  1500,  1490,  1440,  1510,  1480
  97,  1470,  1470,  1490,  1350,  1400,  1480,  1500,  1330
  98,  1420,  1400,  1490,  1490,  1440,  1470,  1510,  1470
  99,  1510,  1480,  1480,  1480,  1480,  1330,  1450,  1480
 100,  1470,  1460,  1500,  1490,  1380,  1490,  1490,  1460
 101,  1390,  1380,  1490,  1490,  1470,  1480,  1500,  1470
 102,  1480,  1490,  1500,  1500,  1500,  1390,  1520,  1480
 103,  1360,  1480,  1510,  1350,  1490,  1490,  1520,  1420
 104,  1470,  1450,  1500,  1450,  1390,  1490,  1490,  1470
 105,  1360,  1380,  1500,  1490,  1490,  1490,  1510,  1480
 106,  1450,  1500,  1490,  1470,  1410,  1330,  1290,  1470
 107,  1390,  1470,  1490,  1350,  1330,  1490,  1500,  1480
 108,  1330,  1390,  1500,  1490,  1450,  1470,  1500,  1470
 109,  1480,  1470,  1360,  1490,  1470,  1330,  1510,  1480
 110,  1420,  1480,  1380,  1470,  1460,  1470,  1510,  1470
 111,  1470,  1380,  1490,  1500,  1490,  1480,  1500,  1350
 112,  1490,  1480,  1510,  1490,  1490,  1320,  1510,  1470
 113,  1470,  1480,  1490,  1350,  1490,  1490,  1500,  1490
 114,  1460,  1400,  1490,  1490,  1480,  1480,  1510,  1480
 115,  1460,  1480,  1490,  1500,  1480,  1470,  1510,  1400
 116,  1410,  1450,  1370,  1350,  1480,  1480,  1510,  1470
 117,  1470,  1380,  1480,  1500,  1480,  1480,  1500,  1480
 118,  1450,  1480,  1490,  1500,  1470,  1480,  1500,  1480
 119,  1470,  1470,  1490,  1490,  1470,  1390,  1300,  1480
 120,  1480,  1400,  1370,  1360,  1360,  1310,  1410,  1350
