addr, bit0,  bit1,  bit2,  bit3,  bit4,  bit5,  bit6,  bit7
   0,     0,  1460,     0,  1470,     0,  1420,  1480,  1440
   1,  1470,  1380,     0,  1330,     0,  1340,  1390,  1340
   2,  1350,  1260,     0,  1480,     0,  1050,  1500,  1480
   3,  1420,  1500,  1500,  1410,  1500,  1500,  1400,  1490
   4,  1460,  1470,  1350,  1470,  1350,  1480,  1520,  1440
   5,  1360,  1380,  1270,  1320,  1500,  1340,  1400,  1340
   6,  1110,  1150,  1270,  1440,  1410,  1450,  1520,  1480
   7,  1480,  1490,  1480,  1500,  1500,  1470,  1520,  1320
   8,  1340,  1480,  1350,  1440,  1480,  1450,  1140,  1030
   9,  1330,  1380,  1190,  1410,  1300,  1340,  1400,  1490
  10,  1390,  1480,  1480,  1390,  1480,  1480,  1510,  1440
  11,  1360,  1490,  1390,  1470,  1500,  1340,  1400,  1340
  12,  1390,  1480,  1340,  1500,  1360,  1480,  1330,  1070
  13,  1210,  1380,  1500,  1420,  1510,  1340,  1520,  1500
  14,  1480,  1270,  1420,  1480,  1460,  1390,  1560,  1490
  15,  1430,  1510,  1430,  1410,  1300,  1500,  1300,  1490
  16,  1460,  1500,  1500,  1330,  1500,  1380,  1520,  1420
  17,  1360,  1470,  1380,  1460,  1430,  1490,  1480,  1330
  18,  1450,  1470,  1480,  1460,  1410,  1490,  1500,  1490
  19,  1360,  1380,  1400,  1470,  1300,  1480,  1410,  1490
  20,  1380,  1500,  1500,  1400,  1510,  1400,  1520,  1440
  21,  1200,  1380,  1370,  1410,  1510,  1490,  1520,  1490
  22,  1440,  1500,  1500,  1430,  1360,  1490,  1480,  1490
  23,  1480,  1460,  1490,  1500,  1500,  1480,  1480,  1440
  24,  1460,  1490,  1410,  1420,  1380,  1400,  1510,  1440
  25,  1480,  1490,  1490,  1480,  1500,  1340,  1520,  1440
  26,  1460,  1500,  1480,  1480,  1490,  1460,  1390,  1490
  27,  1480,  1380,  1500,  1490,  1500,  1480,  1530,  1480
  28,  1480,  1490,  1430,  1490,  1490,  1400,  1520,  1330
  29,  1360,  1380,  1400,  1410,  1420,  1490,  1060,  1070
  30,  1210,  1500,  1410,  1380,  1380,  1400,  1480,  1500
  31,  1480,  1380,  1400,  1500,  1400,  1480,  1510,  1330
  32,  1390,  1490,  1350,  1480,  1350,  1490,  1500,  1460
  33,  1470,  1380,  1240,  1400,  1500,  1340,  1350,  1460
  34,  1390,  1500,  1460,  1410,  1410,  1490,  1390,  1500
  35,  1360,  1180,  1420,  1420,  1410,  1480,  1400,  1490
  36,  1460,  1470,  1340,  1480,  1360,  1490,  1510,  1330
  37,  1260,  1380,  1200,  1400,  1500,  1340,  1400,  1490
  38,  1390,  1190,  1460,  1390,  1460,  1490,  1510,  1400
  39,  1470,  1490,  1480,  1460,  1490,  1490,  1520,  1340
  40,  1460,  1470,  1350,  1330,  1350,  1360,  1400,  1470
  41,  1410,  1460,  1490,  1500,  1060,  1390,  1510,  1480
  42,  1460,  1490,  1490,  1460,  1490,  1390,  1400,  1420
  43,  1460,  1480,  1490,  1490,  1300,  1090,  1310,  1490
  44,  1460,  1480,  1350,  1460,  1460,  1460,  1530,  1460
  45,  1360,  1380,  1490,  1500,  1410,  1490,  1510,  1460
  46,  1180,  1460,  1460,  1410,  1460,  1480,  1520,  1480
  47,  1480,  1500,  1490,  1500,  1490,  1460,  1520,  1490
  48,  1290,  1370,  1470,  1390,  1350,  1410,  1390,  1420
  49,  1480,  1510,  1490,  1320,  1510,  1490,  1510,  1460
  50,  1390,  1450,  1480,  1480,  1350,  1400,  1570,  1480
  51,  1470,  1490,  1360,  1480,  1490,  1490,  1400,  1480
  52,  1460,  1480,  1480,  1480,  1470,  1500,  1510,  1480
  53,  1480,  1380,  1490,  1480,  1500,  1470,  1590,  1440
  54,  1380,  1480,  1470,  1330,  1460,  1380,  1560,  1480
  55,  1470,  1490,  1490,  1490,  1500,  1480,  1530,  1490
  56,  1480,  1370,  1470,  1480,  1410,  1370,  1530,  1480
  57,  1470,  1480,  1380,  1410,  1500,  1480,  1510,  1490
  58,  1460,  1480,  1350,  1330,  1470,  1470,  1400,  1410
  59,  1360,  1380,  1480,  1470,  1400,  1340,  1510,  1340
  60,  1390,  1480,  1500,  1330,  1500,  1400,  1390,  1500
  61,  1480,  1470,  1380,  1490,  1410,  1480,  1520,  1450
  62,  1390,  1470,  1350,  1400,  1410,  1450,  1320,  1450
  63,  1140,  1380,  1500,  1400,  1510,  1400,  1530,  1330
  64,  1100,  1490,  1350,  1330,  1490,  1480,  1400,  1480
  65,  1480,  1380,  1490,  1490,  1410,  1340,  1520,  1490
  66,  1150,  1460,  1420,  1050,  1500,  1470,  1470,  1460
  67,  1470,  1490,  1380,  1450,  1400,  1340,  1400,  1340
  68,  1390,  1480,  1340,  1490,  1480,  1460,  1510,  1480
  69,  1480,  1380,  1490,  1480,  1480,  1480,  1520,  1430
  70,  1390,  1490,  1480,  1330,  1360,  1500,  1510,  1480
  71,  1470,  1380,  1420,  1490,  1180,  1180,  1390,  1490
  72,  1150,  1480,  1400,  1480,  1480,  1380,  1500,  1330
  73,  1470,  1480,  1490,  1470,  1500,  1340,  1520,  1080
  74,  1480,  1370,  1480,  1400,  1480,  1480,  1500,  1480
  75,  1360,  1500,  1410,  1480,  1400,  1290,  1510,  1480
  76,  1480,  1480,  1340,  1480,  1480,  1480,  1480,  1490
  77,  1360,  1380,  1500,  1490,  1510,  1480,  1530,  1490
  78,  1190,  1480,  1480,  1480,  1500,  1450,  1470,  1480
  79,  1360,  1500,  1410,  1490,  1410,  1480,  1520,  1450
  80,  1470,  1490,  1490,  1410,  1510,  1490,  1490,  1490
  81,  1480,  1500,  1470,  1470,  1420,  1460,  1520,  1480
  82,  1480,  1480,  1410,  1330,  1490,  1490,  1480,  1480
  83,  1470,  1380,  1490,  1500,  1490,  1370,  1520,  1480
  84,  1480,  1320,  1480,  1400,  1500,  1490,  1480,  1490
  85,  1360,  1500,  1360,  1320,  1300,  1340,  1530,  1450
  86,  1450,  1490,  1490,  1490,  1070,  1490,  1390,  1430
  87,  1470,  1490,  1400,  1480,  1500,  1480,  1310,  1490
  88,  1480,  1490,  1500,  1410,  1500,  1490,  1510,  1480
  89,  1360,  1380,  1500,  1500,  1510,  1490,  1510,  1500
  90,  1480,  1490,  1400,  1410,  1350,  1490,  1490,  1480
  91,  1360,  1500,  1490,  1490,  1490,  1500,  1510,  1490
  92,  1480,  1370,  1490,  1400,  1490,  1500,  1480,  1460
  93,  1360,  1500,  1390,  1480,  1510,  1400,  1520,  1500
  94,  1240,  1500,  1390,  1410,  1420,  1480,  1510,  1490
  95,  1480,  1460,  1500,  1500,  1510,  1500,  1400,  1500
  96,  1450,  1490,  1480,  1460,  1480,  1390,  1510,  1500
  97,  1470,  1490,  1500,  1410,  1430,  1470,  1520,  1450
  98,  1390,  1460,  1500,  1500,  1490,  1500,  1500,  1490
  99,  1480,  1490,  1490,  1460,  1470,  1390,  1480,  1490
 100,  1480,  1490,  1490,  1500,  1420,  1480,  1510,  1500
 101,  1380,  1380,  1490,  1490,  1500,  1480,  1510,  1490
 102,  1450,  1490,  1490,  1490,  1480,  1400,  1500,  1480
 103,  1360,  1490,  1500,  1400,  1500,  1480,  1520,  1440
 104,  1470,  1490,  1480,  1480,  1410,  1460,  1510,  1490
 105,  1420,  1380,  1500,  1480,  1510,  1470,  1510,  1490
 106,  1480,  1490,  1450,  1470,  1400,  1380,  1490,  1500
 107,  1430,  1490,  1500,  1410,  1300,  1490,  1510,  1490
 108,  1390,  1350,  1490,  1470,  1500,  1490,  1500,  1480
 109,  1460,  1490,  1380,  1480,  1480,  1340,  1510,  1490
 110,  1390,  1490,  1420,  1490,  1500,  1500,  1550,  1490
 111,  1470,  1380,  1490,  1490,  1500,  1490,  1520,  1440
 112,  1470,  1480,  1480,  1470,  1480,  1400,  1520,  1480
 113,  1470,  1480,  1490,  1320,  1490,  1430,  1520,  1480
 114,  1480,  1370,  1480,  1480,  1500,  1480,  1520,  1480
 115,  1470,  1490,  1490,  1450,  1500,  1480,  1510,  1460
 116,  1280,  1480,  1400,  1400,  1470,  1480,  1510,  1470
 117,  1480,  1450,  1480,  1480,  1510,  1500,  1520,  1480
 118,  1470,  1480,  1480,  1450,  1480,  1480,  1510,  1480
 119,  1470,  1480,  1490,  1460,  1500,  1340,  1470,  1490
 120,  1460,  1370,  1340,  1330,  1360,  1400,  1400,  1330
 121,  1360,  1290,  1490,  1490,  1480,  1480,  1270,  1490
 122,  1450,  1480,  1400,  1400,  1400,  1400,  1520,  1490
 123,  1470,  1490,  1490,  1490,  1510,  1480,  1520,  1490
 124,  1390,  1350,  1350,  1330,  1350,  1390,  1490,  1480
 125,  1470,  1260,  1490,  1490,  1510,  1460,  1400,  1440
 126,  1390,  1240,  1420,  1330,  1510,  1400,  1510,  1330
 127,  1160,  1510,  1390,  1480,  1420,  1500,  1490,  1020
 128,  1060,  1370,  1480,  1480,  1500,  1490,  1400,  1490
 129,  1480,  1480,  1440,  1400,  1430,  1360,  1520,  1320
 130,  1480,  1500,  1490,  1480,  1350,  1400,  1530,  1500
 131,  1440,  1480,  1370,  1410,  1510,  1490,  1520,  1500
 132,  1450,  1370,  1480,  1400,  1410,  1490,  1400,  1440
 133,  1240,  1490,  1370,  1420,  1510,  1340,  1510,  1340
 134,  1240,  1500,  1390,  1410,  1490,  1500,  1390,  1500
 135,  1360,  1380,  1490,  1480,  1410,  1490,  1400,  1470
 136,  1450,  1450,  1400,  1500,  1500,  1390,  1520,  1440
 137,  1470,  1500,  1490,  1470,  1500,  1340,  1400,  1450
 138,  1450,  1490,  1410,  1330,  1480,  1490,  1250,  1450
 139,  1480,  1490,  1470,  1480,  1500,  1480,  1510,  1490
 140,  1390,  1370,  1350,  1440,  1360,  1400,  1400,  1480
 141,  1460,  1490,  1490,  1400,  1480,  1480,  1510,  1340
 142,  1480,  1370,  1350,  1500,  1500,  1400,  1520,  1500
 143,  1430,  1510,  1500,  1410,  1420,  1500,  1480,  1460
 144,  1390,  1360,  1490,  1460,  1500,  1490,  1500,  1460
 145,  1470,  1490,  1360,  1400,  1410,  1340,  1400,  1340
 146,  1410,  1360,  1390,  1330,  1500,  1490,  1510,  1500
 147,  1360,  1490,  1490,  1500,  1410,  1480,  1400,  1450
 148,  1460,  1490,  1420,  1460,  1490,  1490,  1510,  1490
 149,  1480,  1500,  1500,  1500,  1490,  1340,  1520,  1490
 150,  1460,  1490,  1480,  1490,  1490,  1460,  1510,  1460
 151,  1390,  1490,  1490,  1480,  1420,  1340,  1520,  1490
 152,  1390,  1360,  1500,  1500,  1500,  1490,  1510,  1420
 153,  1480,  1500,  1420,  1400,  1430,  1340,  1490,  1500
 154,  1490,  1490,  1430,  1510,  1410,  1400,  1520,  1490
 155,  1360,  1500,  1500,  1400,  1410,  1480,  1520,  1500
 156,  1480,  1370,  1350,  1460,  1400,  1480,  1520,  1460
 157,  1360,  1490,  1490,  1390,  1510,  1340,  1520,  1340
 158,  1460,  1370,  1460,  1480,  1490,  1480,  1500,  1490
 159,  1360,  1500,  1490,  1400,  1500,  1490,  1510,  1470
 160,  1460,  1500,  1480,  1490,  1350,  1490,  1400,  1480
 161,  1360,  1250,  1490,  1490,  1500,  1470,  1520,  1490
 162,  1460,  1360,  1490,  1330,  1490,  1470,  1510,  1330
 163,  1280,  1490,  1370,  1490,  1510,  1470,  1510,  1480
 164,  1490,  1370,  1490,  1480,  1490,  1490,  1510,  1490
 165,  1470,  1500,  1490,  1500,  1510,  1480,  1340,  1490
 166,  1480,  1490,  1410,  1490,  1500,  1490,  1520,  1490
 167,  1360,  1380,  1490,  1490,  1510,  1480,  1510,  1490
 168,  1460,  1490,  1410,  1390,  1400,  1380,  1380,  1480
 169,  1470,  1480,  1380,  1460,  1500,  1480,  1510,  1470
 170,  1370,  1490,  1470,  1490,  1490,  1380,  1510,  1480
 171,  1490,  1490,  1490,  1400,  1420,  1490,  1520,  1490
 172,  1370,  1490,  1490,  1330,  1500,  1490,  1510,  1490
 173,  1360,  1500,  1370,  1500,  1430,  1490,  1520,  1500
 174,  1210,  1500,  1500,  1380,  1510,  1490,  1510,  1450
 175,  1490,  1500,  1370,  1490,  1410,  1380,  1520,  1450
 176,  1450,  1370,  1470,  1420,  1490,  1480,  1510,  1490
 177,  1470,  1500,  1350,  1480,  1500,  1490,  1520,  1470
 178,  1460,  1490,  1480,  1490,  1470,  1480,  1510,  1500
 179,  1480,  1490,  1490,  1490,  1510,  1490,  1520,  1490
 180,  1480,  1500,  1470,  1470,  1500,  1490,  1510,  1490
 181,  1390,  1490,  1430,  1490,  1300,  1340,  1510,  1490
 182,  1470,  1370,  1480,  1330,  1500,  1050,  1500,  1330
 183,  1360,  1490,  1390,  1500,  1410,  1440,  1480,  1490
 184,  1450,  1370,  1490,  1400,  1410,  1460,  1390,  1470
 185,  1480,  1490,  1500,  1470,  1480,  1300,  1520,  1460
 186,  1470,  1490,  1490,  1500,  1350,  1400,  1510,  1490
 187,  1360,  1380,  1380,  1330,  1500,  1480,  1510,  1490
 188,  1480,  1370,  1350,  1450,  1490,  1480,  1510,  1490
 189,  1240,  1500,  1490,  1320,  1420,  1490,  1520,  1340
 190,  1200,  1480,  1410,  1500,  1510,  1490,  1510,  1470
 191,  1360,  1110,  1500,  1420,  1510,  1470,  1480,  1500
 192,  1480,  1460,  1470,  1470,  1400,  1380,  1470,  1480
 193,  1400,  1380,  1490,  1490,  1510,  1500,  1530,  1460
 194,  1480,  1480,  1470,  1330,  1460,  1500,  1400,  1480
 195,  1360,  1380,  1480,  1490,  1480,  1470,  1510,  1470
 196,  1480,  1490,  1400,  1480,  1500,  1460,  1500,  1480
 197,  1360,  1070,  1490,  1470,  1500,  1490,  1520,  1450
 198,  1490,  1460,  1490,  1480,  1480,  1500,  1510,  1480
 199,  1480,  1490,  1480,  1460,  1410,  1490,  1520,  1450
 200,  1390,  1480,  1470,  1330,  1500,  1480,  1490,  1480
 201,  1470,  1380,  1470,  1480,  1410,  1460,  1510,  1470
 202,  1480,  1230,  1400,  1500,  1500,  1480,  1510,  1460
 203,  1360,  1490,  1480,  1410,  1400,  1490,  1520,  1480
 204,  1470,  1470,  1480,  1410,  1500,  1490,  1460,  1440
 205,  1470,  1490,  1480,  1500,  1410,  1490,  1520,  1340
 206,  1470,  1480,  1410,  1500,  1470,  1470,  1490,  1490
 207,  1360,  1500,  1490,  1470,  1510,  1500,  1520,  1490
 208,  1460,  1370,  1390,  1490,  1350,  1490,  1510,  1490
 209,  1360,  1490,  1490,  1390,  1500,  1470,  1350,  1450
 210,  1460,  1050,  1410,  1460,  1480,  1470,  1330,  1470
 211,  1470,  1380,  1490,  1490,  1480,  1380,  1510,  1340
 212,  1390,  1500,  1420,  1460,  1500,  1490,  1490,  1500
 213,  1470,  1510,  1490,  1470,  1410,  1250,  1300,  1490
 214,  1480,  1360,  1490,  1410,  1510,  1390,  1510,  1330
