addr, bit0,  bit1,  bit2,  bit3,  bit4,  bit5,  bit6,  bit7
   0,     0,  1420,     0,  1420,     0,  1400,  1440,  1380
   1,  1410,  1320,     0,  1350,     0,  1330,  1360,  1360
   2,  1060,  1180,   950,  1420,     0,  1140,  1440,  1410
   3,  1340,  1420,  1430,  1340,  1420,  1420,  1360,  1430
   4,  1410,  1410,  1360,  1440,  1340,  1420,  1450,  1320
   5,  1340,  1320,  1060,  1340,  1430,  1330,  1380,  1360
   6,  1050,  1170,   960,  1410,  1400,  1400,  1430,  1410
   7,  1410,  1410,  1440,  1430,  1430,  1410,  1450,  1350
   8,  1090,  1420,  1360,  1410,  1400,  1400,  1080,  1200
   9,  1060,  1330,   960,  1150,  1310,  1330,  1360,  1420
  10,  1330,  1420,  1420,  1340,  1420,  1400,  1440,  1330
  11,  1340,  1430,  1340,  1420,  1430,  1340,  1420,  1360
  12,  1350,  1420,  1360,  1410,  1340,  1420,  1310,  1240
  13,  1230,  1330,  1430,  1350,  1440,  1330,  1450,  1420
  14,  1420,  1330,  1390,  1420,  1400,  1350,  1370,  1410
  15,  1340,  1430,  1340,  1340,  1320,  1430,  1260,  1440
  16,  1400,  1440,  1430,  1340,  1440,  1380,  1450,  1370
  17,  1350,  1410,  1370,  1430,  1360,  1420,  1380,  1350
  18,  1400,  1430,  1420,  1420,  1370,  1400,  1450,  1440
  19,  1340,  1410,  1340,  1440,  1320,  1420,  1370,  1420
  20,  1340,  1440,  1430,  1330,  1430,  1370,  1440,  1460
  21,  1270,  1400,  1340,  1050,  1430,  1420,  1460,  1450
  22,  1400,  1430,  1430,  1430,  1340,  1410,  1340,  1420
  23,  1420,  1390,  1420,  1430,  1430,  1410,  1380,  1060
  24,  1410,  1420,  1380,  1340,  1340,  1370,  1450,  1330
  25,  1410,  1430,  1440,  1430,  1400,  1340,  1450,  1360
  26,  1410,  1420,  1430,  1420,  1410,  1410,  1370,  1430
  27,  1410,  1320,  1440,  1440,  1420,  1410,  1440,  1430
  28,  1410,  1430,  1370,  1430,  1430,  1370,  1450,  1340
  29,  1340,  1330,  1030,  1200,  1140,  1410,  1060,  1140
  30,  1020,  1430,  1380,  1340,  1330,  1340,  1360,  1410
  31,  1410,  1390,  1330,  1430,  1350,  1410,  1450,  1470
  32,  1350,  1420,  1370,  1400,  1340,  1400,  1450,  1410
  33,  1420,  1320,  1060,  1090,  1430,  1330,  1050,  1360
  34,  1340,  1420,  1410,  1340,  1160,  1400,  1380,  1410
  35,  1350,  1390,  1340,  1340,  1360,  1410,  1360,  1420
  36,  1410,  1410,  1340,  1410,  1350,  1410,  1420,  1380
  37,  1170,  1330,  1280,  1340,  1430,  1340,  1370,  1430
  38,  1350,  1080,  1430,  1340,  1390,  1410,  1430,  1370
  39,  1420,  1410,  1440,  1450,  1420,  1410,  1440,  1360
  40,  1410,  1420,  1340,  1340,  1340,  1080,  1370,  1410
  41,  1350,  1390,  1430,  1440,  1310,  1340,  1450,  1420
  42,  1400,  1420,  1420,  1410,  1410,  1350,  1360,  1380
  43,  1420,  1420,  1430,  1430,  1450,  1090,  1340,  1430
  44,  1410,  1420,  1350,  1390,  1390,  1380,  1430,  1360
  45,  1340,  1390,  1430,  1430,  1370,  1410,  1440,  1350
  46,  1060,  1180,  1450,  1080,  1500,  1410,  1440,  1410
  47,  1430,  1440,  1430,  1440,  1410,  1410,  1460,  1430
  48,  1080,  1380,  1430,  1340,  1340,  1330,  1350,  1350
  49,  1420,  1430,  1440,  1340,  1420,  1420,  1440,  1150
  50,  1340,  1330,  1430,  1420,  1340,  1340,  1430,  1420
  51,  1420,  1440,  1340,  1440,  1430,  1410,  1380,  1420
  52,  1410,  1420,  1440,  1420,  1410,  1420,  1430,  1420
  53,  1430,  1470,  1440,  1430,  1420,  1410,  1460,  1500
  54,  1350,  1420,  1420,  1340,  1440,  1360,  1370,  1420
  55,  1420,  1420,  1430,  1440,  1420,  1410,  1450,  1420
  56,  1420,  1330,  1430,  1410,  1330,  1360,  1430,  1420
  57,  1420,  1420,  1350,  1340,  1400,  1410,  1450,  1420
  58,  1420,  1420,  1360,  1340,  1420,  1410,  1370,  1340
  59,  1340,  1410,  1430,  1430,  1320,  1340,  1450,  1490
  60,  1340,  1420,  1440,  1340,  1420,  1350,  1370,  1420
  61,  1420,  1390,  1160,  1430,  1320,  1420,  1460,  1360
