addr, bit0,  bit1,  bit2,  bit3,  bit4,  bit5,  bit6,  bit7
  90,  1410,  1420,  1380,  1360,  1350,  1410,  1420,  1420
  91,  1360,  1420,  1410,  1420,  1430,  1410,  1420,  1420
  92,  1410,  1350,  1410,  1140,  1430,  1410,  1400,  1380
  93,  1380,  1420,  1400,  1420,  1440,  1370,  1420,  1420
  94,  1190,  1420,  1380,  1140,  1380,  1410,  1420,  1420
  95,  1410,  1370,  1410,  1430,  1430,  1410,  1410,  1420
  96,  1400,  1410,  1410,  1420,  1450,  1370,  1420,  1410
  97,  1410,  1410,  1410,  1360,  1440,  1410,  1430,  1170
  98,  1370,  1360,  1410,  1420,  1430,  1410,  1420,  1410
  99,  1400,  1420,  1410,  1420,  1430,  1380,  1390,  1420
 100,  1410,  1420,  1410,  1430,  1350,  1410,  1430,  1420
 101,  1360,  1360,  1410,  1420,  1430,  1410,  1420,  1420
 102,  1410,  1410,  1410,  1420,  1450,  1370,  1420,  1420
 103,  1370,  1420,  1410,  1360,  1430,  1410,  1410,  1150
 104,  1400,  1410,  1410,  1420,  1350,  1410,  1410,  1410
 105,  1360,  1360,  1410,  1410,  1430,  1400,  1420,  1420
 106,  1400,  1420,  1410,  1420,  1360,  1370,  1250,  1420
 107,  1360,  1420,  1410,  1350,  1350,  1410,  1420,  1410
 108,  1360,  1360,  1410,  1420,  1430,  1410,  1420,  1420
 109,  1410,  1420,  1400,  1420,  1430,  1380,  1420,  1420
 110,  1370,  1420,  1390,  1420,  1430,  1410,  1420,  1410
 111,  1410,  1360,  1420,  1420,  1430,  1410,  1420,  1370
 112,  1400,  1420,  1410,  1430,  1440,  1370,  1420,  1420
 113,  1410,  1420,  1410,  1360,  1430,  1420,  1420,  1420
 114,  1410,  1360,  1410,  1430,  1460,  1410,  1420,  1410
 115,  1410,  1420,  1420,  1420,  1430,  1410,  1420,  1380
 116,  1220,  1420,  1390,  1370,  1420,  1420,  1430,  1420
 117,  1410,  1350,  1420,  1430,  1440,  1420,  1430,  1420
