addr, bit0,  bit1,  bit2,  bit3,  bit4,  bit5,  bit6,  bit7
   0,     0,  1240,     0,  1250,     0,  1240,  1260,  1240
   1,  1250,  1250,     0,  1240,     0,  1220,  1220,  1210
   2,  1180,  1210,     0,  1260,     0,  1190,  1390,  1250
   3,  1250,  1250,  1390,  1230,  1250,  1360,  1380,  1250
   4,  1180,  1240,     0,  1260,  1220,  1350,  1370,  1240
   5,  1240,  1250,     0,  1240,  1250,  1140,  1150,  1090
   6,  1230,  1220,     0,  1250,  1220,  1370,  1370,  1250
   7,  1240,  1240,  1340,  1260,  1250,  1360,  1380,  1070
   8,  1180,  1240,     0,  1250,  1250,  1310,  1360,  1070
   9,  1120,  1250,     0,   890,  1240,  1140,  1150,  1250
  10,  1230,  1240,  1380,  1240,  1250,  1320,  1320,  1240
  11,  1250,  1250,  1330,  1260,  1250,  1140,  1150,  1210
  12,  1230,  1250,     0,  1260,  1230,  1320,  1150,  1060
  13,  1200,  1240,  1350,  1230,  1250,  1320,  1390,  1260
  14,  1250,  1210,  1350,  1260,  1250,  1140,  1140,  1250
  15,  1250,  1250,  1350,  1240,  1230,  1390,  1140,  1250
  16,  1190,  1240,  1350,  1230,  1260,  1140,  1410,  1190
  17,  1240,  1240,  1350,  1250,  1250,  1340,  1380,  1210
  18,  1120,  1240,  1410,  1250,  1150,  1340,  1390,  1250
  19,  1250,  1240,  1370,  1260,  1230,  1360,  1130,  1280
  20,  1240,  1250,  1360,  1240,  1250,  1340,  1380,  1220
  21,  1210,  1240,  1340,  1190,  1250,  1410,  1360,  1270
  22,  1250,  1250,  1370,  1260,  1230,  1350,  1350,  1250
  23,  1250,  1250,  1340,  1250,  1250,  1370,  1130,  1240
  24,  1240,  1250,  1330,  1230,  1220,  1360,  1390,  1240
  25,  1250,  1250,  1350,  1250,  1250,  1360,  1450,  1220
  26,  1250,  1250,  1410,  1260,  1250,  1370,  1340,  1260
  27,  1250,  1250,  1360,  1260,  1250,  1350,  1370,  1250
  28,  1240,  1250,  1350,  1260,  1250,  1140,  1410,  1060
  29,  1250,  1250,  1350,  1180,  1200,  1360,  1330,  1060
  30,  1240,  1250,  1350,  1250,  1230,  1350,  1330,  1250
  31,  1250,  1250,  1330,  1260,  1160,  1400,  1380,  1200
  32,  1240,  1250,     0,  1260,  1230,  1330,  1370,  1250
  33,  1250,  1250,     0,  1180,  1250,  1140,  1350,  1210
  34,  1230,  1250,  1400,  1240,  1180,  1340,  1350,  1250
  35,  1250,  1200,  1330,  1240,  1240,  1360,  1120,  1250
  36,  1250,  1240,     0,  1260,  1230,  1360,  1380,  1210
  37,  1120,  1240,     0,  1230,  1250,  1330,  1380,  1250
  38,  1240,  1200,  1370,  1230,  1250,  1360,  1390,  1230
  39,  1250,  1250,  1330,  1260,  1250,  1370,  1340,  1060
  40,  1240,  1240,     0,  1230,  1230,  1370,  1120,  1250
  41,  1250,  1250,  1380,  1250,  1170,  1350,  1350,  1280
  42,  1240,  1250,  1380,  1250,  1250,  1140,  1120,  1240
  43,  1250,  1250,  1350,  1260,  1240,  1130,  1120,  1300
  44,  1250,  1250,     0,  1250,  1250,  1340,  1420,  1250
  45,  1250,  1240,  1340,  1260,  1210,  1410,  1350,  1240
  46,  1230,  1200,  1360,  1150,  1250,  1330,  1340,  1270
  47,  1250,  1250,  1350,  1260,  1250,  1350,  1350,  1260
  48,  1230,  1250,  1430,  1230,  1230,  1320,  1340,  1250
  49,  1250,  1240,  1370,  1240,  1250,  1380,  1370,  1240
  50,  1230,  1240,  1370,  1250,  1220,  1320,  1380,  1250
  51,  1250,  1250,     0,  1250,  1250,  1380,  1350,  1250
  52,  1250,  1250,  1340,  1260,  1260,  1380,  1400,  1260
  53,  1250,  1250,  1340,  1260,  1250,  1370,  1360,  1260
  54,  1230,  1240,  1360,  1230,  1250,  1340,  1360,  1270
  55,  1240,  1250,  1360,  1260,  1250,  1360,  1350,  1250
  56,  1250,  1250,  1390,  1260,  1240,  1330,  1390,  1260
  57,  1250,  1260,  1370,  1240,  1260,  1350,  1360,  1250
  58,  1230,  1250,     0,  1230,  1250,  1390,  1120,  1220
  59,  1250,  1240,  1320,  1260,  1230,  1380,  1330,  1060
  60,  1230,  1250,  1380,  1220,  1250,  1130,  1120,  1250
  61,  1250,   890,  1320,  1250,  1250,  1400,  1330,  1250
  62,  1240,   890,     0,  1150,  1180,  1350,  1330,  1240
