addr, bit0,  bit1,  bit2,  bit3,  bit4,  bit5,  bit6,  bit7
   0,     0,  1380,     0,  1370,     0,  1360,  1420,  1340
   1,  1390,  1290,     0,  1330,     0,  1310,  1340,  1330
   2,   980,   960,     0,  1390,     0,   960,  1420,  1390
   3,  1310,  1400,  1410,  1330,  1390,  1390,  1340,  1400
   4,  1400,  1410,  1280,  1410,  1320,  1400,  1430,   980
   5,  1320,  1290,     0,  1330,  1380,  1310,  1350,  1330
   6,   900,   960,     0,  1390,  1310,  1390,  1420,  1390
   7,  1390,  1400,  1420,  1400,  1400,  1390,  1430,  1320
   8,   990,  1410,  1280,  1400,  1370,  1370,  1020,   950
   9,   960,  1290,     0,  1000,  1300,  1300,  1330,  1400
  10,  1320,  1410,  1410,  1330,  1390,  1380,  1420,   980
  11,  1320,  1410,  1310,  1380,  1380,  1310,  1340,  1330
  12,  1310,  1420,  1280,  1410,  1320,  1360,   960,   960
  13,   900,  1290,  1410,  1320,  1400,  1310,  1430,  1390
  14,  1400,   960,   980,  1390,  1380,  1300,  1340,  1410
  15,  1340,  1410,  1330,  1330,  1300,  1410,   960,  1410
  16,  1390,  1420,  1400,  1330,  1400,  1310,  1430,  1330
  17,  1330,  1350,  1330,  1380,  1300,  1380,  1350,  1320
  18,  1390,  1410,  1390,  1380,   960,  1360,  1430,  1410
  19,  1320,  1350,  1330,  1410,  1300,  1380,  1340,  1400
  20,  1320,  1410,  1390,  1330,  1390,  1300,  1430,  1340
  21,   900,  1290,  1330,   960,  1380,  1390,  1440,  1410
  22,  1390,  1410,  1410,  1400,  1320,  1380,  1340,  1400
  23,  1390,  1290,  1380,  1400,  1380,  1360,  1350,   970
  24,  1400,  1420,  1290,  1330,  1320,  1300,  1430,   960
  25,  1370,  1410,  1410,  1390,  1360,  1300,  1430,  1330
  26,  1390,  1410,  1400,  1390,  1400,  1360,  1350,  1410
  27,  1390,  1290,  1420,  1410,  1380,  1370,  1420,  1400
  28,  1390,  1420,  1010,  1400,  1390,  1310,  1430,  1320
  29,  1320,  1290,   960,  1000,  1000,  1380,  1020,   960
  30,   900,  1410,   960,  1330,  1300,  1300,  1340,  1400
  31,  1390,  1290,  1330,  1400,   950,  1360,  1430,  1330
  32,  1310,  1410,  1280,  1390,  1320,  1370,  1430,  1400
  33,  1390,  1290,     0,   980,  1400,  1310,  1020,  1320
  34,  1320,  1410,  1410,  1330,   980,  1380,  1350,  1410
  35,  1330,  1020,  1320,  1340,  1300,  1380,  1340,  1400
  36,  1390,  1400,  1280,  1380,  1320,  1390,  1420,  1340
  37,   990,  1290,     0,  1330,  1390,  1310,  1340,  1400
  38,  1320,   960,  1410,  1330,  1360,  1390,  1420,  1340
  39,  1400,  1400,  1420,  1420,  1400,  1380,  1420,  1340
  40,  1390,  1410,  1280,  1330,  1320,   970,  1340,  1380
  41,  1330,  1290,  1400,  1410,     0,  1310,  1430,  1400
  42,  1400,  1410,  1400,  1410,  1400,  1310,  1340,  1340
  43,  1400,  1410,  1410,  1390,  1300,   960,   960,  1400
  44,  1400,  1410,  1290,  1390,  1360,  1380,  1420,  1330
  45,  1320,  1290,  1410,  1400,   970,  1370,  1420,  1320
  46,   970,   960,  1420,   980,  1400,  1370,  1430,  1400
  47,  1400,  1420,  1390,  1400,  1370,  1360,  1440,  1390
  48,   980,  1320,  1410,  1330,  1320,  1300,  1330,  1320
  49,  1390,  1410,  1420,  1340,  1380,  1390,  1420,   960
  50,  1320,  1320,  1410,  1410,  1330,  1310,  1430,  1400
  51,  1390,  1420,  1320,  1410,  1400,  1380,  1350,  1390
  52,  1390,  1400,  1420,  1420,  1390,  1400,  1430,  1400
  53,  1400,  1350,  1410,  1390,  1360,  1380,  1430,  1340
  54,  1310,  1410,  1400,  1320,  1410,  1310,  1340,  1400
  55,  1390,  1400,  1400,  1400,  1380,  1360,  1430,  1380
