addr, bit0,  bit1,  bit2,  bit3,  bit4,  bit5,  bit6,  bit7
  91,  1350,  1460,  1460,  1430,  1440,  1450,  1490,  1440
  92,  1450,  1370,  1460,   990,  1420,  1450,  1380,  1360
  93,  1350,  1430,  1350,  1440,  1430,  1320,  1490,  1450
  94,   990,  1450,  1360,   990,  1360,  1450,  1490,  1450
  95,  1450,  1360,  1470,  1450,  1410,  1460,  1380,  1440
  96,  1440,  1440,  1470,  1460,  1440,  1380,  1490,  1460
  97,  1450,  1430,  1460,  1350,  1310,  1450,  1480,  1070
  98,  1330,  1370,  1460,  1420,  1410,  1460,  1490,  1420
  99,  1450,  1440,  1450,  1420,  1410,  1320,  1360,  1460
 100,  1450,  1430,  1470,  1450,  1290,  1460,  1480,  1430
 101,  1350,  1370,  1460,  1460,  1410,  1450,  1470,  1450
 102,  1460,  1460,  1470,  1450,  1460,  1310,  1490,  1450
 103,  1360,  1450,  1480,  1350,  1450,  1450,  1490,  1050
 104,  1450,  1440,  1470,  1430,  1360,  1460,  1490,  1450
 105,  1360,  1360,  1480,  1450,  1450,  1460,  1490,  1450
 106,  1440,  1470,  1470,  1420,  1370,  1310,  1150,  1450
 107,  1350,  1440,  1460,  1350,  1310,  1460,  1480,  1460
 108,  1330,  1370,  1470,  1430,  1410,  1450,  1480,  1460
 109,  1450,  1450,  1340,  1440,  1410,  1320,  1490,  1450
 110,  1330,  1450,  1360,  1430,  1400,  1450,  1480,  1450
 111,  1450,  1360,  1460,  1460,  1450,  1450,  1480,  1330
 112,  1460,  1450,  1470,  1440,  1440,  1310,  1490,  1460
 113,  1450,  1450,  1470,  1350,  1460,  1460,  1480,  1460
 114,  1450,  1370,  1470,  1440,  1420,  1450,  1490,  1450
 115,  1440,  1450,  1470,  1450,  1430,  1440,  1490,  1350
 116,  1030,  1430,  1360,  1350,  1440,  1450,  1490,  1450
 117,  1450,  1360,  1460,  1460,  1420,  1460,  1480,  1450
 118,  1440,  1450,  1460,  1460,  1420,  1450,  1480,  1440
 119,  1450,  1440,  1450,  1430,  1410,  1320,  1120,  1450
 120,  1460,  1380,  1360,  1350,  1290,  1310,  1380,  1350
 121,  1350,   990,  1470,  1440,  1430,  1460,   990,  1460
 122,  1450,  1440,  1350,  1350,  1360,  1310,  1490,  1450
 123,  1450,  1450,  1450,  1420,  1410,  1450,  1490,  1460
 124,  1330,  1350,  1350,  1350,  1290,  1310,  1490,  1450
 125,  1440,   980,  1470,  1420,  1420,  1430,  1370,  1350
 126,  1330,   980,  1210,  1350,  1440,  1310,  1480,  1350
 127,   890,  1440,  1350,  1430,  1310,  1460,  1370,   980
 128,   890,  1370,  1460,  1430,  1460,  1440,  1380,  1450
 129,  1450,  1440,  1340,  1350,  1310,  1320,  1490,  1330
 130,  1440,  1450,  1460,  1440,  1290,  1310,  1490,  1460
 131,  1360,  1360,  1350,  1350,  1430,  1450,  1480,  1460
 132,  1450,  1370,  1460,   990,  1360,  1440,  1380,  1340
 133,  1030,  1450,  1350,   990,  1400,  1320,  1480,  1330
 134,   990,  1450,  1160,   990,  1420,  1430,  1370,  1450
 135,  1340,  1370,  1450,  1440,  1310,  1450,  1370,  1330
 136,  1440,   990,  1350,  1440,  1450,  1370,  1490,   990
 137,  1450,  1430,  1470,  1430,  1420,  1320,  1380,   970
 138,  1450,  1450,  1360,  1350,  1430,  1450,  1180,  1350
 139,  1450,  1450,  1470,  1440,  1450,  1450,  1480,  1460
 140,  1330,  1370,  1350,  1470,  1290,  1310,  1380,  1450
 141,  1440,  1450,  1460,  1350,  1430,  1460,  1490,  1340
 142,  1450,  1360,  1360,  1470,  1460,  1310,  1490,  1460
 143,  1040,  1450,  1480,  1350,  1310,  1470,  1370,  1050
 144,  1330,  1380,  1470,  1450,  1430,  1420,  1490,  1360
 145,  1450,  1440,  1350,  1000,  1310,  1320,  1380,  1350
 146,  1030,  1360,  1080,  1350,  1410,  1430,  1480,  1440
 147,  1360,  1440,  1460,  1440,  1310,  1440,  1360,  1350
 148,  1450,  1450,  1350,  1440,  1420,  1430,  1490,  1460
 149,  1460,  1450,  1470,  1430,  1420,  1320,  1490,  1460
 150,  1450,  1440,  1470,  1460,  1440,  1450,  1490,  1360
 151,  1350,  1460,  1470,  1470,  1380,  1320,  1490,  1470
 152,  1330,  1380,  1480,  1440,  1430,  1430,  1490,  1360
 153,  1460,  1440,  1350,  1350,  1000,  1320,  1370,  1460
 154,  1450,  1450,  1350,  1450,  1360,  1310,  1490,  1460
 155,  1360,  1450,  1470,  1350,  1310,  1450,  1490,  1460
 156,  1460,  1360,  1350,  1450,  1370,  1460,  1490,  1350
 157,  1360,  1450,  1450,  1350,  1440,  1320,  1490,  1330
 158,  1450,  1370,  1470,  1430,  1410,  1440,  1480,  1450
 159,  1360,  1440,  1440,   990,  1430,  1460,  1490,  1050
 160,  1450,  1460,  1460,  1460,  1290,  1440,  1370,  1450
 161,  1350,  1160,  1460,  1450,  1460,  1460,  1480,  1440
