addr, bit0,  bit1,  bit2,  bit3,  bit4,  bit5,  bit6,  bit7
  90,  1550,  1480,  1510,  1460,  1450,  1520,  1570,  1480
  91,  1590,  1480,  1510,  1490,  1490,  1530,  1500,  1480
  92,  1490,  1460,  1500,  1460,  1480,  1510,  1480,  1490
  93,  1580,  1490,  1480,  1490,  1490,  1510,  1540,  1490
  94,  1450,  1480,  1460,  1490,  1430,  1530,  1500,  1480
  95,  1640,  1450,  1510,  1490,  1480,  1460,  1530,  1490
  96,  1590,  1470,  1550,  1480,  1480,  1510,  1500,  1500
  97,  1570,  1480,  1530,  1460,  1450,  1490,  1500,  1460
  98,  1490,  1480,  1500,  1530,  1490,  1470,  1500,  1580
  99,  1510,  1480,  1520,  1490,  1490,  1510,  1510,  1490
 100,  1490,  1480,  1510,  1490,  1450,  1520,  1500,  1480
 101,  1550,  1460,  1530,  1510,  1480,  1510,  1530,  1490
 102,  1480,  1470,  1500,  1480,  1490,  1490,  1500,  1470
 103,  1560,  1470,  1490,  1490,  1480,  1490,  1510,  1470
 104,  1560,  1480,  1510,  1480,  1440,  1520,  1510,  1480
 105,  1490,  1470,  1530,  1520,  1490,  1560,  1500,  1510
 106,  1480,  1480,  1500,  1490,  1450,  1530,  1440,  1470
 107,  1460,  1480,  1490,  1450,  1440,  1530,  1500,  1490
 108,  1480,  1470,  1520,  1510,  1490,  1510,  1500,  1480
 109,  1530,  1520,  1490,  1490,  1490,  1550,  1500,  1540
 110,  1570,  1480,  1480,  1530,  1480,  1520,  1520,  1480
 111,  1510,  1460,  1510,  1520,  1490,  1500,  1510,  1500
 112,  1490,  1490,  1520,  1490,  1490,  1570,  1510,  1480
 113,  1510,  1480,  1490,  1460,  1480,  1490,  1500,  1490
 114,  1500,  1460,  1520,  1490,  1490,  1520,  1510,  1480
 115,  1650,  1480,  1490,  1560,  1490,  1500,  1510,  1490
 116,  1460,  1470,  1490,  1490,  1480,  1490,  1500,  1480
 117,  1560,  1460,  1560,  1510,  1490,  1500,  1510,  1480
 118,  1530,  1480,  1520,  1510,  1490,  1470,  1500,  1490
 119,  1500,  1480,  1520,  1490,  1490,  1540,  1440,  1480
 120,  1480,  1470,  1450,  1470,  1440,  1480,  1470,  1480
 121,  1460,  1410,  1490,  1480,  1480,  1460,  1430,  1480
 122,  1490,  1480,  1490,  1490,  1440,  1520,  1500,  1490
 123,  1480,  1480,  1490,  1490,  1500,  1480,  1500,  1490
 124,  1520,  1460,  1440,  1490,  1420,  1540,  1500,  1470
 125,  1510,  1400,  1490,  1490,  1480,  1480,  1530,  1510
 126,  1440,  1360,  1460,  1490,  1480,  1490,  1500,  1480
 127,  1430,  1490,  1460,  1490,  1460,  1470,  1470,  1460
 128,  1430,  1460,  1530,  1480,  1500,  1510,  1490,  1470
 129,  1490,  1480,  1500,  1460,  1450,  1530,  1500,  1530
 130,  1500,  1460,  1520,  1480,  1430,  1530,  1500,  1470
 131,  1500,  1460,  1460,  1450,  1490,  1480,  1490,  1470
 132,  1480,  1460,  1510,  1420,  1460,  1500,  1510,  1480
 133,  1460,  1480,  1500,  1420,  1490,  1530,  1500,  1480
 134,  1460,  1480,  1500,  1420,  1490,  1540,  1500,  1470
 135,  1500,  1470,  1510,  1500,  1440,  1450,  1470,  1580
 136,  1490,  1440,  1500,  1490,  1480,  1560,  1500,  1480
 137,  1560,  1480,  1510,  1570,  1480,  1490,  1510,  1450
 138,  1490,  1470,  1510,  1520,  1480,  1480,  1510,  1480
 139,  1560,  1470,  1530,  1500,  1480,  1530,  1510,  1490
 140,  1520,  1460,  1440,  1480,  1440,  1490,  1480,  1470
 141,  1480,  1470,  1510,  1540,  1480,  1480,  1500,  1480
 142,  1490,  1470,  1450,  1480,  1490,  1480,  1510,  1480
 143,  1420,  1480,  1500,  1530,  1450,  1480,  1480,  1430
 144,  1470,  1470,  1520,  1490,  1540,  1480,  1520,  1550
 145,  1530,  1480,  1510,  1450,  1490,  1510,  1480,  1560
 146,  1490,  1520,  1510,  1440,  1490,  1490,  1500,  1480
 147,  1470,  1480,  1550,  1490,  1460,  1530,  1480,  1490
