addr, bit0,  bit1,  bit2,  bit3,  bit4,  bit5,  bit6,  bit7
   0,  1460,  1480,  1740,  1480,  1800,  1470,  1500,  1800
   1,  1610,  1450,  1450,  1430,  1420,  1430,  1530,  1430
   2,  1530,  1410,  1430,  1490,  1330,  1340,  1500,  1540
   3,  1530,  1490,  1500,  1440,  1500,  1600,  1480,  1540
   4,  1530,  1490,  1460,  1500,  1430,  1540,  1510,  1490
   5,  1460,  1470,  1420,  1440,  1500,  1440,  1470,  1420
   6,  1420,  1410,  1450,  1490,  1480,  1560,  1510,  1550
   7,  1550,  1490,  1490,  1490,  1510,  1580,  1520,  1430
   8,  1550,  1490,  1440,  1480,  1490,  1550,  1390,  1020
   9,  1510,  1450,  1420,  1320,  1430,  1430,  1550,  1500
  10,  1480,  1490,  1490,  1450,  1500,  1540,  1510,  1490
  11,  1480,  1490,  1460,  1490,  1500,  1440,  1550,  1420
  12,  1490,  1490,  1510,  1500,  1460,  1540,  1510,  1020
  13,  1460,  1480,  1490,  1430,  1510,  1540,  1510,  1500
  14,  1530,  1410,  1340,  1500,  1500,  1450,  1660,  1550
  15,  1530,  1500,  1550,  1440,  1430,  1610,  1550,  1520
  16,  1530,  1490,  1480,  1450,  1510,  1440,  1510,  1520
  17,  1520,  1450,  1460,  1480,  1480,  1590,  1480,  1410
  18,  1510,  1480,  1480,  1480,  1480,  1570,  1540,  1560
  19,  1510,  1440,  1450,  1490,  1420,  1570,  1520,  1530
  20,  1460,  1490,  1480,  1440,  1510,  1560,  1520,  1510
  21,  1440,  1490,  1470,  1350,  1510,  1580,  1510,  1570
  22,  1540,  1490,  1480,  1490,  1440,  1580,  1530,  1530
  23,  1580,  1450,  1490,  1500,  1500,  1570,  1590,  1520
  24,  1560,  1490,  1530,  1440,  1450,  1560,  1590,  1520
  25,  1620,  1490,  1490,  1490,  1500,  1550,  1510,  1520
  26,  1570,  1490,  1480,  1490,  1490,  1590,  1590,  1530
  27,  1510,  1460,  1490,  1490,  1500,  1590,  1570,  1530
  28,  1550,  1490,  1370,  1490,  1510,  1460,  1520,  1420
  29,  1480,  1450,  1260,  1340,  1470,  1540,  1180,  1010
  30,  1470,  1490,  1260,  1440,  1440,  1540,  1540,  1520
  31,  1520,  1460,  1460,  1500,  1440,  1620,  1520,  1430
  32,  1480,  1480,  1460,  1480,  1420,  1540,  1500,  1520
  33,  1500,  1450,  1420,  1360,  1500,  1440,  1050,  1510
  34,  1500,  1490,  1480,  1440,  1470,  1560,  1550,  1530
  35,  1460,  1440,  1460,  1440,  1460,  1560,  1550,  1540
  36,  1530,  1480,  1450,  1480,  1460,  1550,  1500,  1010
  37,  1510,  1450,  1410,  1440,  1500,  1550,  1550,  1520
  38,  1490,  1420,  1480,  1440,  1500,  1560,  1540,  1490
  39,  1530,  1490,  1490,  1490,  1500,  1600,  1510,  1430
  40,  1550,  1480,  1490,  1440,  1430,  1550,  1530,  1570
  41,  1550,  1450,  1480,  1490,  1380,  1550,  1520,  1520
  42,  1510,  1480,  1480,  1480,  1510,  1450,  1590,  1510
  43,  1520,  1490,  1490,  1490,  1420,  1400,  1570,  1590
  44,  1570,  1490,  1470,  1490,  1490,  1570,  1530,  1510
  45,  1490,  1490,  1480,  1490,  1460,  1570,  1540,  1510
  46,  1490,  1420,  1480,  1350,  1490,  1570,  1580,  1540
  47,  1550,  1510,  1490,  1490,  1490,  1570,  1510,  1540
  48,  1550,  1460,  1490,  1440,  1430,  1520,  1570,  1520
  49,  1550,  1500,  1490,  1440,  1500,  1630,  1540,  1520
  50,  1480,  1440,  1560,  1490,  1440,  1510,  1680,  1500
  51,  1510,  1490,  1540,  1490,  1500,  1560,  1560,  1520
  52,  1520,  1490,  1490,  1490,  1490,  1540,  1610,  1570
  53,  1520,  1490,  1510,  1490,  1490,  1560,  1680,  1560
  54,  1500,  1480,  1490,  1440,  1500,  1540,  1680,  1560
  55,  1500,  1490,  1490,  1490,  1500,  1560,  1580,  1520
  56,  1520,  1450,  1480,  1490,  1460,  1540,  1620,  1530
  57,  1540,  1480,  1460,  1440,  1490,  1590,  1520,  1520
  58,  1530,  1480,  1440,  1450,  1490,  1580,  1550,  1520
  59,  1520,  1520,  1480,  1480,  1450,  1560,  1500,  1430
  60,  1500,  1490,  1490,  1450,  1500,  1460,  1540,  1520
  61,  1540,  1210,  1340,  1490,  1450,  1580,  1510,  1520
  62,  1470,  1160,  1490,  1340,  1450,  1590,  1490,  1520
  63,  1440,  1490,  1490,  1300,  1500,  1560,  1510,  1440
  64,  1420,  1490,  1520,  1440,  1500,  1570,  1550,  1560
  65,  1510,  1460,  1490,  1490,  1470,  1560,  1520,  1500
  66,  1490,  1410,  1430,  1310,  1500,  1540,  1560,  1500
  67,  1550,  1500,  1470,  1480,  1480,  1440,  1550,  1430
  68,  1510,  1490,  1450,  1490,  1490,  1540,  1550,  1530
  69,  1510,  1450,  1490,  1490,  1490,  1550,  1520,  1530
  70,  1520,  1490,  1480,  1440,  1440,  1500,  1510,  1490
  71,  1510,  1440,  1440,  1490,  1380,  1500,  1560,  1510
  72,  1490,  1490,  1500,  1490,  1490,  1500,  1560,  1020
  73,  1540,  1490,  1490,  1490,  1500,  1500,  1520,  1020
  74,  1530,  1470,  1480,  1430,  1490,  1570,  1600,  1530
  75,  1530,  1500,  1460,  1490,  1440,  1560,  1530,  1500
  76,  1550,  1490,  1440,  1490,  1490,  1570,  1520,  1560
  77,  1500,  1490,  1490,  1490,  1500,  1590,  1510,  1520
  78,  1500,  1490,  1490,  1480,  1500,  1580,  1560,  1530
  79,  1500,  1490,  1460,  1490,  1480,  1570,  1510,  1520
  80,  1500,  1480,  1480,  1440,  1500,  1540,  1550,  1510
  81,  1530,  1490,  1480,  1490,  1490,  1620,  1510,  1540
  82,  1560,  1480,  1420,  1480,  1500,  1610,  1470,  1570
  83,  1530,  1480,  1490,  1490,  1490,  1610,  1540,  1540
  84,  1530,  1410,  1530,  1440,  1500,  1570,  1600,  1550
  85,  1500,  1490,  1510,  1440,  1430,  1430,  1510,  1540
  86,  1490,  1480,  1490,  1490,  1350,  1570,  1540,  1510
  87,  1540,  1490,  1480,  1490,  1500,  1590,  1540,  1520
  88,  1540,  1490,  1490,  1440,  1500,  1570,  1570,  1540
  89,  1540,  1470,  1490,  1490,  1510,  1590,  1510,  1520
  90,  1510,  1480,  1580,  1440,  1450,  1570,  1580,  1520
  91,  1470,  1530,  1490,  1490,  1500,  1540,  1510,  1580
  92,  1520,  1440,  1480,  1380,  1500,  1560,  1560,  1500
  93,  1520,  1500,  1470,  1490,  1510,  1560,  1520,  1530
  94,  1490,  1500,  1450,  1360,  1460,  1550,  1570,  1520
  95,  1500,  1490,  1500,  1500,  1500,  1580,  1540,  1530
  96,  1580,  1480,  1480,  1500,  1500,  1550,  1550,  1530
  97,  1580,  1490,  1490,  1440,  1480,  1570,  1580,  1530
  98,  1490,  1460,  1490,  1490,  1500,  1540,  1510,  1500
  99,  1510,  1500,  1490,  1480,  1500,  1540,  1580,  1550
 100,  1550,  1490,  1480,  1490,  1440,  1540,  1540,  1540
 101,  1540,  1460,  1520,  1490,  1500,  1600,  1590,  1560
 102,  1500,  1490,  1490,  1480,  1500,  1600,  1560,  1580
 103,  1480,  1490,  1490,  1440,  1500,  1550,  1560,  1550
 104,  1520,  1490,  1480,  1480,  1450,  1550,  1560,  1550
 105,  1510,  1470,  1490,  1490,  1510,  1600,  1520,  1530
 106,  1530,  1480,  1570,  1480,  1500,  1440,  1520,  1510
 107,  1520,  1500,  1500,  1430,  1410,  1590,  1580,  1530
 108,  1460,  1460,  1480,  1480,  1500,  1540,  1540,  1530
 109,  1580,  1490,  1510,  1490,  1490,  1440,  1510,  1500
 110,  1510,  1490,  1540,  1490,  1490,  1550,  1650,  1520
 111,  1560,  1480,  1490,  1490,  1510,  1550,  1550,  1510
 112,  1520,  1490,  1480,  1490,  1500,  1430,  1570,  1520
 113,  1490,  1490,  1480,  1440,  1500,  1580,  1560,  1520
 114,  1540,  1500,  1490,  1500,  1510,  1560,  1570,  1520
 115,  1540,  1490,  1490,  1490,  1510,  1560,  1540,  1500
 116,  1510,  1480,  1450,  1440,  1490,  1580,  1560,  1530
 117,  1520,  1460,  1490,  1490,  1500,  1560,  1550,  1560
 118,  1540,  1490,  1480,  1480,  1510,  1570,  1540,  1570
 119,  1520,  1480,  1490,  1480,  1500,  1550,  1540,  1520
 120,  1530,  1480,  1530,  1430,  1430,  1450,  1510,  1010
 121,  1450,  1430,  1490,  1490,  1490,  1590,  1510,  1540
 122,  1560,  1480,  1570,  1500,  1460,  1540,  1510,  1520
 123,  1530,  1490,  1490,  1500,  1510,  1600,  1620,  1540
 124,  1470,  1450,  1500,  1430,  1440,  1430,  1500,  1560
 125,  1500,  1450,  1490,  1490,  1500,  1550,  1550,  1540
 126,  1480,  1420,  1340,  1450,  1510,  1450,  1510,  1010
 127,  1450,  1500,  1450,  1490,  1470,  1560,  1490,  1010
 128,  1400,  1540,  1480,  1490,  1500,  1590,  1530,  1550
 129,  1520,  1490,  1460,  1440,  1480,  1540,  1510,  1430
 130,  1530,  1490,  1480,  1490,  1430,  1460,  1560,  1530
 131,  1520,  1450,  1480,  1440,  1510,  1560,  1520,  1520
 132,  1520,  1470,  1480,  1390,  1480,  1530,  1560,  1500
 133,  1520,  1490,  1460,  1380,  1520,  1530,  1500,  1420
 134,  1520,  1490,  1450,  1290,  1500,  1580,  1560,  1550
 135,  1500,  1550,  1490,  1500,  1440,  1620,  1500,  1540
 136,  1530,  1420,  1470,  1490,  1500,  1530,  1510,  1530
 137,  1540,  1500,  1490,  1490,  1500,  1450,  1500,  1530
 138,  1520,  1490,  1520,  1430,  1500,  1580,  1500,  1520
 139,  1510,  1480,  1500,  1480,  1500,  1550,  1510,  1520
 140,  1470,  1430,  1480,  1480,  1430,  1440,  1550,  1490
 141,  1520,  1490,  1480,  1440,  1480,  1560,  1540,  1430
 142,  1530,  1520,  1480,  1500,  1500,  1460,  1510,  1500
 143,  1530,  1500,  1490,  1430,  1420,  1560,  1520,  1500
 144,  1470,  1440,  1490,  1490,  1510,  1530,  1550,  1500
 145,  1500,  1490,  1460,  1380,  1500,  1530,  1530,  1430
 146,  1500,  1420,  1400,  1450,  1500,  1540,  1530,  1570
 147,  1490,  1500,  1490,  1500,  1440,  1610,  1570,  1520
 148,  1550,  1490,  1480,  1490,  1490,  1560,  1550,  1570
 149,  1520,  1500,  1520,  1490,  1500,  1430,  1570,  1530
 150,  1570,  1490,  1480,  1490,  1490,  1580,  1540,  1520
 151,  1560,  1500,  1490,  1490,  1470,  1550,  1550,  1530
 152,  1470,  1450,  1490,  1500,  1510,  1550,  1510,  1520
 153,  1560,  1500,  1510,  1440,  1480,  1550,  1540,  1540
 154,  1570,  1490,  1470,  1500,  1520,  1550,  1520,  1510
 155,  1470,  1500,  1490,  1430,  1470,  1570,  1530,  1540
 156,  1540,  1440,  1520,  1490,  1450,  1540,  1550,  1510
 157,  1520,  1490,  1520,  1440,  1510,  1530,  1510,  1430
 158,  1520,  1450,  1480,  1480,  1490,  1520,  1510,  1510
 159,  1470,  1490,  1490,  1350,  1500,  1560,  1510,  1490
 160,  1520,  1490,  1480,  1490,  1440,  1550,  1530,  1530
 161,  1470,  1410,  1490,  1490,  1500,  1630,  1510,  1550
 162,  1540,  1530,  1480,  1450,  1500,  1580,  1610,  1020
 163,  1510,  1540,  1450,  1490,  1500,  1590,  1520,  1530
 164,  1550,  1550,  1480,  1490,  1510,  1540,  1530,  1530
 165,  1530,  1490,  1480,  1490,  1510,  1580,  1530,  1510
 166,  1520,  1490,  1460,  1490,  1490,  1550,  1640,  1520
 167,  1520,  1460,  1490,  1490,  1500,  1560,  1530,  1520
 168,  1530,  1480,  1410,  1450,  1450,  1430,  1560,  1530
 169,  1540,  1480,  1450,  1490,  1500,  1550,  1520,  1500
 170,  1530,  1490,  1490,  1490,  1490,  1530,  1550,  1540
 171,  1510,  1490,  1520,  1400,  1470,  1560,  1560,  1550
 172,  1510,  1510,  1490,  1470,  1500,  1570,  1600,  1500
 173,  1460,  1500,  1460,  1490,  1480,  1560,  1550,  1500
 174,  1420,  1490,  1480,  1450,  1510,  1610,  1530,  1490
 175,  1530,  1500,  1460,  1490,  1450,  1610,  1560,  1490
 176,  1540,  1470,  1480,  1450,  1520,  1540,  1500,  1510
 177,  1520,  1490,  1510,  1490,  1510,  1580,  1510,  1500
 178,  1510,  1480,  1480,  1490,  1500,  1550,  1580,  1530
 179,  1540,  1490,  1480,  1490,  1500,  1630,  1540,  1560
 180,  1510,  1490,  1480,  1490,  1530,  1540,  1600,  1540
 181,  1510,  1490,  1460,  1490,  1410,  1440,  1540,  1490
 182,  1510,  1460,  1480,  1450,  1500,  1350,  1500,  1410
 183,  1470,  1490,  1440,  1490,  1470,  1570,  1580,  1550
 184,  1500,  1440,  1480,  1440,  1460,  1570,  1550,  1540
 185,  1500,  1490,  1490,  1490,  1500,  1570,  1540,  1540
 186,  1570,  1490,  1480,  1490,  1430,  1460,  1590,  1520
 187,  1500,  1440,  1440,  1440,  1500,  1540,  1500,  1530
 188,  1510,  1460,  1470,  1480,  1500,  1570,  1570,  1490
 189,  1500,  1500,  1490,  1440,  1470,  1600,  1530,  1430
 190,  1500,  1480,  1480,  1490,  1510,  1590,  1580,  1510
 191,  1470,  1310,  1490,  1440,  1500,  1580,  1540,  1540
 192,  1510,  1470,  1480,  1490,  1470,  1530,  1490,  1520
 193,  1510,  1460,  1490,  1490,  1500,  1590,  1510,  1510
 194,  1500,  1480,  1470,  1450,  1490,  1550,  1510,  1530
 195,  1500,  1450,  1480,  1490,  1490,  1550,  1510,  1560
 196,  1530,  1490,  1560,  1490,  1500,  1620,  1600,  1510
 197,  1470,  1210,  1500,  1490,  1500,  1570,  1550,  1510
 198,  1500,  1460,  1490,  1490,  1510,  1540,  1550,  1520
 199,  1510,  1490,  1490,  1490,  1480,  1590,  1520,  1490
 200,  1490,  1480,  1480,  1450,  1500,  1560,  1550,  1580
 201,  1500,  1460,  1480,  1490,  1450,  1560,  1520,  1570
 202,  1500,  1450,  1490,  1490,  1510,  1550,  1570,  1510
 203,  1500,  1490,  1490,  1430,  1500,  1580,  1550,  1540
 204,  1550,  1480,  1490,  1450,  1500,  1540,  1550,  1510
