 1040,  1430,  1430,  1330,  1360,  1340,  1340,  1450,  1440,  1360,  1340,  1420,  1370,  1450,  1430,  1360, 
 1350,  1260,  1330,  1320,  1440,  1400,  1340,  1450,  1210,  1320,  1410,  1330,  1370,  1450,  1420,  1510, 
 1350,  1410,  1430,  1430,  1430,  1450,  1530,  1440,  1430,  1440,  1410,  1420,  1450,  1440,  1430,  1480, 
 1350,  1410,  1330,  1440,  1440,  1450,  1420,  1440,  1410,  1430,  1340,  1410,  1440,  1450,  1360,  1440, 
 1450,  1420,  1440,  1420,  1430,  1340,  1360,  1430,  1420,  1360,  1360,  1400,  1360,  1460,  1370,  1420, 
 1430,  1430,  1330,  1430,  1450,  1340,  1420,  1460,  1330,  1440,  1420,  1430,  1450,  1460,  1430,  1440, 
 1420,  1330,  1330,  1430,  1390,  1140,  1340,  1450,  1420,  1430,  1400,  1350,  1450,  1360,  1350,  1430, 
 1100,  1430,  1430,  1440,  1440,  1450,  1430,  1450,  1430,  1320,  1340,  1420,  1350,  1060,  1400,  1430, 
 1420,  1420,  1330,  1440,  1440,  1430,  1430,  1440,  1110,  1400,  1390,  1420,  1430,  1450,  1420,  1370, 
 1410,  1090,  1440,  1440,  1440,  1450,  1440,  1340,  1420,  1440,  1360,  1420,  1460,  1450,  1440,  1510, 
 1340,  1410,  1430,  1430,  1420,  1430,  1450,  1430,  1420,  1430,  1360,  1420,  1180,  1440,  1420,  1420, 
 1420,  1410,  1410,  1430,  1440,  1400,  1340,  1440,  1340,  1420,  1380,  1410,  1450,  1440,  1410,  1360, 
 1420,  1420,  1450,  1430,  1390,  1250,  1440,  1450,  1410,  1420,  1420,  1330,  1440,  1450,  1340,  1420, 
 1410,  1410,  1420,  1380,  1380,  1450,  1420,  1340,  1500,  1430,  1350,  1420,  1350,  1450,  1340,  1420, 
 1340,  1420,  1330,  1440,  1430,  1340,  1340,  1430,  1420,  1430,  1420,  1420,  1450,  1450,  1410,  1430, 
 1420,  1420,  1420,  1430,  1440,  1440,  1440,  1440,  1420,  1420,  1420,  1190,  1440,  1450,  1440,  1380, 
 1420,  1340,  1440,  1440,  1430,  1330,  1400,  1440,  1190,  1420,  1190,  1190,  1450,  1360,  1430,  1420, 
 1350,  1420,  1330,  1440,  1370,  1440,  1430,  1430,  1400,  1430,  1400,  1420,  1450,  1360,  1430,  1370, 
 1430,  1420,  1430,  1430,  1440,  1430,  1400,  1440,  1440,  1440,  1330,  1420,  1450,  1460,  1360,  1040, 
 1420,  1350,  1430,  1430,  1440,  1340,  1440,  1460,  1440,  1410,  1400,  1410,  1450,  1460,  1420,  1460, 
 1410,  1340,  1330,  1430,  1440,  1330,  1340,  1440,  1420,  1400,  1340,  1410,  1440,  1440,  1360,  1430, 
 1440,  1410,  1430,  1440,  1390,  1430,  1430,  1440,  1430,  1320,  1400,  1260,  1440,  1180,  1430,  1420, 
 1420,  1420,  1080,  1410,  1400,  1430,  1430,  1440,  1430,  1430,  1400,  1050,  1070,  1440,  1420,  1360, 
 1400,  1330,  1330,  1440,  1360,  1440,  1430,  1420,  1340,  1420,  1390,  1410,  1440,  1160,  1420,  1270, 
 1420,  1340,  1420,  1450,  1370,  1430,  1440,  1430,  1400,  1430,  1400,  1410,  1440,  1450,  1430,  1430, 
 1400,  1410,  1420,  1440,  1440,  1440,  1340,  1440,  1430,  1320,  1420,  1420,  1130,  1450,  1340,  1370, 
 1420,  1340,  1120,  1430,  1380,  1440,  1430,  1340,  1420,  1320,  1380,  1420,  1450,  1450,  1310,  1420, 
 1350,  1420,  1420,  1330,  1420,  1440,  1340,  1430,  1400,  1370,  1380,  1420,  1430,  1450,  1430,  1420, 
 1420,  1410,  1330,  1430,  1430,  1420,  1400,  1440,  1420,  1370,  1390,  1410,  1440,  1450,  1400,  1260, 
 1410,  1350,  1430,  1400,  1380,  1440,  1430,  1430,  1420,  1430,  1380,  1410,  1440,  1450,  1420,  1280, 
 1420,  1340,  1420,  1320,  1450,  1440,  1340,  1430,  1420,  1410,  1420,  1410,  1350,  1450,  1420,  1420, 
 1410,  1350,  1330,  1400,  1420,  1440,  1440,  1440,  1340,  1440,  1350,  1410,  1020,  1450,  1410,  1370, 
 1050,  1340,  1430,  1400,  1380,  1450,  1430,  1340,  1430,  1440,  1420,  1430,  1450,  1320,  1430,  1430, 
 1420,  1100,  1330,  1430,  1380,  1440,  1430,  1340,  1460,  1320,  1410,  1420,  1450,  1450,  1430,  1350, 
 1420,  1340,  1430,  1390,  1430,  1340,  1430,  1340,  1340,  1430,  1340,  1410,  1450,  1440,  1420,  1420, 
 1420,  1420,  1330,  1430,  1430,  1430,  1450,  1440,  1050,  1420,  1420,  1100,  1360,  1460,  1430,  1370, 
 1420,  1340,  1330,  1430,  1430,  1340,  1340,  1430,  1430,  1310,  1240,  1420,  1430,  1370,  1360,  1430, 
 1420,  1340,  1430,  1430,  1430,  1340,  1420,  1450,  1430,  1310,  1430,  1340,  1450,  1450,  1430,  1430, 
 1420,  1420,  1430,  1430,  1430,  1430,  1410,  1430,  1430,  1430,  1420,  1410,  1430,  1450,  1430,  1420, 
 1420,  1420,  1330,  1430,  1430,  1340,  1340,  1440,  1430,  1410,  1410,  1420,  1430,  1440,  1430,  1360, 
 1180,  1430,  1440,  1430,  1430,  1340,  1340,  1440,  1430,  1380,  1430,  1350,  1450,  1450,  1360,  1310, 
 1340,  1350,  1430,  1440,  1430,  1340,  1330,  1440,  1430,  1310,  1410,  1410,  1450,  1450,  1420,  1420, 
 1350,  1430,  1430,  1430,  1430,  1430,  1430,  1050,  1420,  1190,  1360,  1430,  1430,  1460,  1430,  1430, 
 1410,  1430,  1450,  1420,  1400,  1340,  1340,  1440,  1340,  1430,  1340,  1430,  1380,  1460,  1430,  1360, 
