vretention,badbits
 500, 0
 490, 0
 480, 0
 470, 0
 460, 0
 450, 0
 440, 0
 430, 0
 420, 0
 410, 1
 400, 2
 390, 4
 380, 6
 370, 7
 360, 11
 350, 16
 340, 27
 330, 41
 320, 60
 310, 98
 300, 138
 290, 203
 280, 291
 270, 390
 260, 512
 250, 719
 240, 912
 230, 975
 220, 995
 210, 999
 200, 993
 190, 999
 180, 1004
 170, 1021
 160, 1030
 150, 1017
 140, 1017
 130, 1031
 120, 1018
 110, 1025
 100, 1030
  90, 1036
  80, 1047
  70, 1031
  60, 1046
  50, 1057
  40, 1047
  30, 1051
  20, 1052
  10, 1051
