vretention,badbits
 500, 0
 490, 0
 480, 0
 470, 0
 460, 0
 450, 0
 440, 0
 430, 0
 420, 0
 410, 0
 400, 2
 390, 4
 380, 6
 370, 9
 360, 15
 350, 27
 340, 51
 330, 83
 320, 138
 310, 188
 300, 261
 290, 365
 280, 520
 270, 741
 260, 905
 250, 971
 240, 998
 230, 1000
 220, 1000
 210, 1012
 200, 1027
 190, 1026
 180, 1036
 170, 1036
 160, 1016
 150, 1030
 140, 1024
 130, 1032
 120, 1031
 110, 1041
 100, 1039
  90, 1047
  80, 1043
  70, 1051
  60, 1040
  50, 1049
  40, 1049
  30, 1046
  20, 1051
  10, 1038
