vretention,badbits
 500, 0
 490, 0
 480, 0
 470, 0
 460, 0
 450, 0
 440, 0
 430, 0
 420, 0
 410, 0
 400, 0
 390, 0
 380, 0
 370, 0
 360, 0
 350, 11
 340, 6
 330, 14
 320, 19
 310, 39
 300, 63
 290, 88
 280, 126
 270, 195
 260, 293
 250, 480
 240, 727
 230, 892
 220, 1003
 210, 1030
 200, 1048
 190, 1040
 180, 1029
 170, 1042
 160, 1047
 150, 1045
 140, 1037
 130, 1023
 120, 1024
 110, 1033
 100, 1025
  90, 1028
  80, 1032
  70, 1012
  60, 1015
  50, 1015
  40, 1014
  30, 1007
  20, 1000
  10, 1003
