addr, bit0,  bit1,  bit2,  bit3,  bit4,  bit5,  bit6,  bit7
   0,     0,  1250,     0,  1260,     0,  1250,  1260,  1250
   1,  1250,  1300,     0,  1390,     0,  1250,  1320,  1240
   2,  1230,  1300,     0,  1260,     0,  1220,  1480,  1300
   3,  1450,  1300,  1520,  1410,  1400,  1430,  1460,  1340
   4,  1230,  1250,  1250,  1310,  1230,  1440,  1450,  1270
   5,  1450,  1360,  1240,  1410,  1290,  1310,  1450,  1220
   6,  1420,  1310,  1150,  1260,  1290,  1450,  1430,  1320
   7,  1250,  1270,  1430,  1260,  1360,  1420,  1450,  1340
   8,  1200,  1260,  1240,  1280,  1310,  1380,  1440,  1340
   9,  1140,  1420,  1230,  1260,  1330,  1250,  1430,  1330
  10,  1400,  1280,  1470,  1270,  1410,  1360,  1380,  1280
  11,  1420,  1280,  1400,  1350,  1400,  1250,  1260,  1320
  12,  1400,  1230,  1290,  1270,  1250,  1370,  1240,  1280
  13,  1380,  1290,  1420,  1250,  1340,  1370,  1510,  1340
  14,  1260,  1290,  1420,  1260,  1270,  1230,  1320,  1310
  15,  1440,  1270,  1420,  1270,  1250,  1480,  1320,  1280
  16,  1240,  1250,  1400,  1290,  1370,  1220,  1500,  1290
  17,  1360,  1260,  1400,  1260,  1300,  1410,  1470,  1230
  18,  1140,  1240,  1500,  1260,  1300,  1410,  1510,  1300
  19,  1390,  1300,  1450,  1260,  1260,  1430,  1430,  1400
  20,  1360,  1260,  1430,  1260,  1410,  1400,  1460,  1300
  21,  1360,  1350,  1390,  1230,  1300,  1520,  1420,  1360
  22,  1330,  1320,  1450,  1260,  1250,  1430,  1420,  1330
  23,  1470,  1300,  1400,  1260,  1320,  1450,  1310,  1310
  24,  1360,  1260,  1400,  1250,  1270,  1420,  1480,  1300
  25,  1460,  1400,  1440,  1260,  1330,  1410,  1610,  1280
  26,  1360,  1320,  1490,  1300,  1350,  1450,  1390,  1350
  27,  1480,  1320,  1420,  1310,  1350,  1410,  1470,  1310
  28,  1140,  1250,  1410,  1270,  1300,  1250,  1510,  1230
  29,  1500,  1340,  1410,  1260,  1300,  1430,  1380,  1140
  30,  1430,  1270,  1410,  1340,  1270,  1410,  1370,  1280
  31,  1390,  1290,  1380,  1260,  1270,  1500,  1520,  1210
  32,  1410,  1230,  1290,  1260,  1300,  1400,  1430,  1280
  33,  1250,  1420,  1280,  1250,  1290,  1240,  1390,  1260
  34,  1350,  1330,  1490,  1270,  1290,  1400,  1390,  1320
  35,  1510,  1270,  1380,  1340,  1290,  1430,  1430,  1300
  36,  1250,  1210,  1240,  1260,  1250,  1450,  1460,  1270
  37,  1140,  1410,  1200,  1430,  1380,  1370,  1460,  1320
  38,  1470,  1260,  1440,  1250,  1320,  1440,  1480,  1300
  39,  1470,  1370,  1410,  1260,  1320,  1460,  1420,  1260
