addr, bit0,  bit1,  bit2,  bit3,  bit4,  bit5,  bit6,  bit7
  90,  1420,  1420,  1400,  1400,  1380,  1420,  1440,  1420
  91,  1380,  1430,  1430,  1440,  1430,  1410,  1450,  1420
  92,  1420,  1400,  1430,  1400,  1430,  1410,  1410,  1390
  93,  1390,  1430,  1380,  1430,  1430,  1380,  1450,  1430
  94,  1330,  1430,  1370,  1330,  1430,  1420,  1440,  1420
  95,  1430,  1380,  1430,  1430,  1430,  1420,  1420,  1430
  96,  1410,  1420,  1420,  1430,  1420,  1410,  1440,  1420
  97,  1420,  1420,  1430,  1390,  1390,  1410,  1440,  1280
  98,  1480,  1380,  1430,  1430,  1420,  1420,  1440,  1420
  99,  1420,  1430,  1430,  1430,  1430,  1380,  1410,  1430
 100,  1430,  1430,  1430,  1500,  1430,  1430,  1450,  1430
 101,  1390,  1370,  1430,  1440,  1430,  1410,  1440,  1460
 102,  1410,  1420,  1430,  1420,  1430,  1390,  1440,  1430
 103,  1390,  1430,  1430,  1410,  1430,  1410,  1440,  1350
 104,  1410,  1420,  1420,  1430,  1420,  1420,  1430,  1420
 105,  1390,  1380,  1430,  1430,  1430,  1410,  1450,  1420
 106,  1410,  1430,  1450,  1430,  1430,  1380,  1330,  1420
 107,  1400,  1430,  1430,  1410,  1380,  1410,  1440,  1420
 108,  1380,  1410,  1430,  1430,  1430,  1410,  1440,  1420
 109,  1420,  1430,  1410,  1440,  1420,  1390,  1450,  1520
 110,  1380,  1430,  1400,  1430,  1450,  1410,  1440,  1420
 111,  1420,  1380,  1430,  1430,  1430,  1410,  1440,  1510
 112,  1410,  1430,  1440,  1430,  1500,  1370,  1440,  1430
 113,  1420,  1420,  1420,  1400,  1420,  1420,  1440,  1450
 114,  1420,  1380,  1430,  1430,  1420,  1410,  1440,  1430
 115,  1420,  1430,  1440,  1430,  1420,  1410,  1450,  1410
 116,  1270,  1430,  1410,  1390,  1650,  1420,  1500,  1420
 117,  1420,  1380,  1430,  1440,  1430,  1420,  1450,  1420
 118,  1420,  1430,  1430,  1430,  1430,  1420,  1430,  1420
 119,  1420,  1420,  1440,  1430,  1430,  1410,  1350,  1430
 120,  1420,  1390,  1380,  1400,  1490,  1380,  1420,  1390
 121,  1380,  1280,  1430,  1420,  1410,  1410,  1290,  1420
 122,  1420,  1420,  1400,  1390,  1450,  1400,  1440,  1420
 123,  1420,  1490,  1430,  1430,  1430,  1420,  1440,  1430
 124,  1400,  1390,  1380,  1380,  1380,  1380,  1440,  1420
 125,  1420,  1300,  1430,  1440,  1430,  1410,  1420,  1410
 126,  1390,  1260,  1340,  1390,  1440,  1390,  1440,  1380
 127,  1290,  1430,  1400,  1430,  1400,  1420,  1420,  1360
 128,  1270,  1410,  1420,  1440,  1430,  1410,  1420,  1430
 129,  1420,  1430,  1400,  1400,  1380,  1380,  1450,  1410
 130,  1410,  1420,  1420,  1430,  1420,  1370,  1440,  1420
 131,  1400,  1380,  1370,  1410,  1430,  1410,  1440,  1420
 132,  1420,  1390,  1430,  1390,  1500,  1420,  1400,  1390
 133,  1260,  1430,  1390,  1330,  1420,  1380,  1440,  1380
 134,  1240,  1430,  1340,  1290,  1430,  1420,  1390,  1420
 135,  1370,  1500,  1430,  1430,  1420,  1410,  1400,  1400
 136,  1420,  1380,  1390,  1430,  1460,  1390,  1430,  1350
 137,  1410,  1430,  1430,  1420,  1430,  1400,  1410,  1400
 138,  1410,  1420,  1390,  1380,  1430,  1420,  1270,  1380
 139,  1410,  1420,  1430,  1430,  1430,  1410,  1440,  1510
 140,  1390,  1390,  1400,  1430,  1380,  1360,  1400,  1420
 141,  1420,  1420,  1430,  1390,  1410,  1420,  1440,  1400
 142,  1420,  1410,  1360,  1420,  1430,  1400,  1450,  1420
 143,  1270,  1430,  1430,  1510,  1390,  1410,  1410,  1310
 144,  1390,  1400,  1430,  1430,  1430,  1410,  1450,  1370
 145,  1420,  1420,  1390,  1400,  1390,  1390,  1410,  1400
 146,  1250,  1390,  1290,  1460,  1420,  1400,  1430,  1410
 147,  1390,  1430,  1430,  1440,  1380,  1410,  1430,  1500
 148,  1430,  1430,  1390,  1430,  1430,  1410,  1450,  1430
 149,  1420,  1430,  1430,  1430,  1430,  1390,  1450,  1430
 150,  1410,  1430,  1420,  1430,  1420,  1410,  1440,  1360
 151,  1390,  1420,  1430,  1430,  1380,  1380,  1440,  1580
 152,  1380,  1410,  1430,  1430,  1430,  1410,  1440,  1400
 153,  1420,  1430,  1400,  1410,  1350,  1380,  1410,  1430
 154,  1410,  1430,  1380,  1430,  1510,  1370,  1450,  1420
 155,  1390,  1430,  1440,  1400,  1420,  1410,  1440,  1420
 156,  1420,  1460,  1390,  1430,  1420,  1410,  1430,  1390
 157,  1390,  1430,  1430,  1410,  1440,  1380,  1450,  1420
 158,  1410,  1390,  1430,  1420,  1520,  1410,  1440,  1410
 159,  1430,  1430,  1430,  1250,  1420,  1410,  1450,  1340
 160,  1410,  1430,  1430,  1430,  1510,  1410,  1400,  1420
 161,  1380,  1300,  1430,  1440,  1440,  1420,  1440,  1420
 162,  1410,  1430,  1420,  1410,  1430,  1410,  1430,  1380
 163,  1250,  1420,  1380,  1430,  1420,  1410,  1440,  1420
 164,  1420,  1400,  1430,  1430,  1410,  1420,  1430,  1430
 165,  1420,  1430,  1440,  1440,  1440,  1410,  1390,  1540
 166,  1420,  1430,  1370,  1430,  1420,  1420,  1430,  1470
 167,  1380,  1380,  1430,  1430,  1430,  1460,  1440,  1420
 168,  1420,  1430,  1350,  1400,  1390,  1370,  1410,  1420
 169,  1420,  1420,  1390,  1430,  1430,  1410,  1450,  1410
 170,  1390,  1430,  1430,  1420,  1420,  1390,  1440,  1420
 171,  1420,  1430,  1430,  1220,  1310,  1420,  1450,  1430
 172,  1390,  1420,  1430,  1390,  1430,  1410,  1440,  1410
 173,  1400,  1430,  1380,  1440,  1370,  1410,  1450,  1420
 174,  1320,  1430,  1430,  1470,  1430,  1420,  1430,  1430
 175,  1430,  1430,  1390,  1430,  1380,  1400,  1450,  1400
 176,  1410,  1420,  1430,  1390,  1440,  1400,  1440,  1420
 177,  1420,  1430,  1400,  1430,  1420,  1420,  1440,  1480
 178,  1430,  1420,  1430,  1430,  1430,  1420,  1440,  1430
 179,  1420,  1430,  1430,  1430,  1430,  1410,  1440,  1420
 180,  1420,  1430,  1440,  1430,  1420,  1420,  1440,  1420
 181,  1380,  1420,  1390,  1440,  1430,  1390,  1440,  1430
 182,  1430,  1390,  1430,  1410,  1440,  1270,  1440,  1380
 183,  1390,  1430,  1390,  1430,  1380,  1420,  1410,  1430
 184,  1410,  1390,  1430,  1530,  1270,  1400,  1400,  1430
 185,  1420,  1430,  1430,  1430,  1430,  1250,  1450,  1410
 186,  1420,  1430,  1430,  1430,  1390,  1380,  1440,  1420
 187,  1390,  1380,  1390,  1400,  1430,  1410,  1440,  1450
 188,  1420,  1380,  1400,  1430,  1520,  1420,  1450,  1430
 189,  1260,  1430,  1430,  1400,  1390,  1410,  1440,  1410
 190,  1230,  1430,  1410,  1440,  1430,  1420,  1450,  1420
 191,  1390,  1080,  1440,  1410,  1440,  1420,  1370,  1430
 192,  1420,  1410,  1430,  1430,  1390,  1370,  1220,  1420
 193,  1390,  1380,  1440,  1440,  1430,  1410,  1440,  1470
 194,  1420,  1420,  1430,  1400,  1410,  1420,  1410,  1430
 195,  1390,  1380,  1430,  1430,  1410,  1410,  1440,  1420
 196,  1410,  1430,  1370,  1430,  1450,  1400,  1430,  1430
 197,  1390,  1100,  1440,  1430,  1430,  1410,  1450,  1350
 198,  1420,  1410,  1420,  1420,  1430,  1410,  1440,  1420
 199,  1410,  1430,  1430,  1440,  1400,  1410,  1440,  1340
 200,  1380,  1420,  1430,  1400,  1430,  1410,  1440,  1420
 201,  1420,  1380,  1430,  1430,  1390,  1410,  1440,  1420
 202,  1420,  1280,  1380,  1430,  1430,  1410,  1440,  1350
 203,  1380,  1430,  1440,  1410,  1370,  1420,  1440,  1490
 204,  1410,  1420,  1430,  1390,  1420,  1410,  1280,  1340
 205,  1450,  1430,  1430,  1430,  1410,  1410,  1440,  1490
 206,  1420,  1420,  1380,  1430,  1420,  1410,  1430,  1430
 207,  1400,  1440,  1430,  1430,  1440,  1410,  1440,  1460
 208,  1420,  1400,  1390,  1430,  1400,  1400,  1430,  1420
 209,  1380,  1430,  1440,  1480,  1430,  1400,  1260,  1350
 210,  1420,  1220,  1260,  1430,  1420,  1420,  1260,  1420
