vretention,badbits
 500, 0
 490, 0
 480, 0
 470, 0
 460, 0
 450, 0
 440, 2
 430, 3
 420, 3
 410, 8
 400, 9
 390, 16
 380, 23
 370, 39
 360, 61
 350, 94
 340, 139
 330, 199
 320, 261
 310, 332
 300, 394
 290, 504
 280, 601
 270, 673
 260, 728
 250, 788
 240, 892
 230, 916
 220, 947
 210, 976
 200, 999
 190, 994
 180, 1004
 170, 991
 160, 1025
 150, 1014
 140, 1031
 130, 1010
 120, 991
 110, 977
 100, 974
  90, 985
  80, 997
  70, 998
  60, 994
  50, 997
  40, 989
  30, 1002
  20, 996
  10, 1005
