vretention,badbits
 500, 1
 490, 0
 480, 0
 470, 0
 460, 0
 450, 0
 440, 0
 430, 0
 420, 0
 410, 0
 400, 0
 390, 0
 380, 1
 370, 5
 360, 10
 350, 15
 340, 63
 330, 76
 320, 117
 310, 156
 300, 196
 290, 249
 280, 335
 270, 411
 260, 500
 250, 599
 240, 713
 230, 807
 220, 897
 210, 971
 200, 1030
 190, 1033
 180, 1038
 170, 1048
 160, 1034
 150, 1038
 140, 1028
 130, 1045
 120, 1036
 110, 1030
 100, 1024
  90, 1021
  80, 1027
  70, 1019
  60, 1015
  50, 1011
  40, 1004
  30, 1002
  20, 1002
  10, 1003
