vretention,badbits
 500, 0
 490, 0
 480, 0
 470, 0
 460, 0
 450, 1
 440, 1
 430, 3
 420, 4
 410, 8
 400, 10
 390, 14
 380, 17
 370, 28
 360, 43
 350, 68
 340, 100
 330, 146
 320, 201
 310, 275
 300, 355
 290, 438
 280, 511
 270, 613
 260, 707
 250, 806
 240, 912
 230, 977
 220, 1009
 210, 983
 200, 991
 190, 988
 180, 1012
 170, 1026
 160, 1029
 150, 1037
 140, 1030
 130, 1032
 120, 1032
 110, 1011
 100, 1013
  90, 1002
  80, 1018
  70, 1020
  60, 1026
  50, 1012
  40, 1013
  30, 1007
  20, 1012
  10, 1006
